1 3 5 -6
0 2 3 6
1 1 2 -6
0 4 5 3
1 3 2 -3
0 2 2 3
1 2 1 -3
0 2 6 3
1 5 5 -3
0 5 3 3
1 5 2 -4
0 4 2 4
1 2 5 -4
0 2 4 4
1 1 3 -4
0 1 4 4
1 0 5 -4
0 3 6 4
1 1 5 -4
0 5 4 4
1 6 4 -4
0 6 3 4
1 6 5 -4
0 6 2 4
1 3 1 -4
0 5 6 4
1 4 6 -4
0 7 5 4
1 5 7 -4
0 3 7 4
1 2 7 -4
0 0 3 4
1 0 4 -4
0 4 7 4
1 0 2 -4
0 7 4 4
1 7 3 -4
0 5 1 4
1 7 6 -5
0 7 2 5
1 7 1 -5
0 4 1 5
1 4 0 -5
0 6 6 8
1 7 7 -8
0 6 7 6
1 6 1 -6
0 2 0 6
1 1 6 -6
0 3 0 6
1 5 0 -6
0 0 7 6
1 1 0 -6
0 7 0 6
1 6 0 -6
0 0 0 6
1 1 7 -6
0 0 6 6
1 1 1 -6
0 0 1 6
