1 3 5 -14.0
0 2 3 14.0
1 4 2 -14.0
0 5 3 14.0
1 3 2 -14.0
0 4 5 14.0
1 5 4 -14.0
0 5 5 14.0
1 6 2 -14.0
0 2 2 14.0
1 1 3 -9.74
0 2 1 9.28
1 4 1 -8.2
0 2 4 7.03
1 1 4 -7.48
0 2 5 7.11
1 3 1 -8.26
0 0 4 7.73
1 0 5 -7.23
0 0 6 8.01
1 1 5 -8.19
0 5 2 8.1
1 3 6 -8.3
0 0 3 7.26
1 5 6 -7.02
0 1 2 6.5
1 6 5 -7.27
0 5 0 7.69
1 6 3 -6.83
0 4 0 8.18
1 0 1 -10.15
0 6 4 9.83
1 2 0 -9.83
0 7 6 9.69
1 3 0 -9.0
0 5 1 9.37
1 7 5 -8.42
0 7 4 7.49
1 7 3 -6.77
0 7 2 6.82
1 6 0 -7.66
0 2 6 7.27
1 2 7 -8.22
0 1 6 7.97
1 4 6 -8.52
0 1 7 8.5
1 0 2 -8.43
0 0 0 10.55
1 0 7 -15.09
0 1 0 15.51
1 1 1 -13.19
0 7 0 12.58
1 7 1 -12.37
0 6 1 14.0
1 7 7 -14.0
0 5 7 14.0
1 6 7 -14.0
0 6 6 14.0
1 4 7 -14.0
0 3 7 14.0
