1 3 5 -20.0
0 2 3 20.0
1 3 2 -20.0
0 4 5 20.0
1 5 4 -20.0
0 2 2 20.0
1 5 3 -20.0
0 2 5 20.0
1 2 4 -20.0
0 1 3 20.0
1 1 4 -20.0
0 5 5 20.0
1 4 2 -20.0
0 1 2 20.0
1 0 3 -20.0
0 0 2 20.0
1 0 1 -20.0
0 6 4 20.0
1 2 1 -20.0
0 0 4 20.0
1 0 5 -20.0
0 1 5 4.91
1 3 6 -6.8
0 4 6 6.27
1 6 3 -6.45
0 5 2 5.36
1 0 6 -6.95
0 4 1 7.82
1 5 1 -8.89
0 3 1 8.69
1 6 2 -7.83
0 5 6 8.03
1 2 0 -7.27
0 3 0 6.97
1 2 6 -7.8
0 7 3 8.41
1 5 0 -8.02
0 4 0 7.02
1 7 5 -8.25
0 7 4 9.63
1 7 1 -10.56
0 7 6 11.04
1 4 7 -9.75
0 2 7 10.23
1 3 7 -13.25
0 5 7 14.95
1 6 5 -13.6
0 6 1 10.87
1 7 2 -10.38
0 7 0 13.71
1 6 0 -13.7
0 1 1 13.6
1 6 7 -14.7
0 7 7 20.0
1 0 0 -20.0
0 1 0 20.0
0 1 7 20.0
1 1 6 -20.0
0 0 7 20.0
0 6 6 20.0
