1 3 5 2.0
0 2 3 -2.0
1 3 2 2.0
0 4 5 -2.0
1 5 4 2.0
0 2 2 -2.0
1 5 3 2.0
0 2 5 -2.0
1 2 4 2.0
0 1 3 -2.0
1 5 6 2.0
0 4 2 -2.0
1 1 4 2.0
0 5 2 -2.0
1 4 6 2.0
0 3 6 -2.0
1 1 5 -3.15
0 0 5 1.91
1 4 7 -1.27
0 2 6 0.63
1 3 7 1.08
0 0 6 -1.38
1 4 1 1.44
0 6 3 -1.94
1 6 4 3.15
0 5 1 -2.82
1 3 1 2.83
0 3 0 -3.66
1 2 1 3.91
0 1 2 -3.02
1 4 0 2.92
0 5 5 -4.39
1 6 5 3.67
0 7 3 -2.89
1 2 0 2.2
0 7 6 -2.35
1 6 2 1.11
0 7 2 -1.12
1 6 1 1.98
0 7 0 -2.49
1 7 1 0.8
0 6 0 0.84
1 5 0 -0.25
0 1 0 0.48
1 0 3 0.2
0 1 1 0.61
1 0 2 0.92
0 0 4 -2.37
1 0 7 2.95
0 1 6 -1.56
1 1 7 4.38
0 2 7 -5.85
1 0 1 8.08
0 0 0 -2.0
1 7 5 2.0
0 7 4 -2.0
1 7 7 2.0
0 6 6 -2.0
1 5 7 2.0
0 6 7 -2.0
