1 3 5 18.0
0 2 3 -18.0
1 5 2 18.0
0 5 3 -18.0
1 4 2 18.0
0 4 5 -18.0
1 3 2 18.0
0 5 1 -18.0
1 6 2 18.0
0 5 4 -18.0
1 6 3 18.0
0 2 2 -18.0
1 4 1 18.0
0 4 0 -18.0
1 3 1 18.0
0 2 1 -18.0
1 4 6 18.0
0 6 4 -18.0
1 5 0 -1.63
0 7 4 1.63
1 7 3 -1.63
0 2 5 2.05
1 2 4 -2.05
0 5 6 2.05
1 3 6 1.21
0 7 2 -1.21
1 1 5 -0.37
0 5 5 -1.18
1 1 3 1.05
0 4 7 0.15
1 7 5 -0.09
0 7 6 0.45
1 6 5 -1.21
0 2 7 0.45
1 1 0 -0.52
0 1 2 -0.92
1 1 4 3.01
0 3 0 -4.0
1 3 7 4.16
0 0 3 -4.51
1 2 6 3.78
0 0 5 -3.59
1 5 7 4.95
0 6 7 -6.62
1 2 0 5.7
0 1 7 -6.09
1 0 2 4.7
0 6 1 -2.41
1 0 4 5.59
0 0 1 -7.93
1 0 6 4.75
0 0 7 -4.41
1 1 6 5.87
0 1 1 -18.0
1 0 0 18.0
0 6 6 -18.0
1 7 0 18.0
0 6 0 -18.0
1 7 7 18.0
1 7 1 18.0
