1 3 5 -26.0
0 2 3 26.0
1 3 2 -26.0
0 4 5 26.0
1 5 3 -26.0
0 4 2 26.0
1 5 2 -26.0
0 2 2 1.55
1 5 4 -1.55
0 2 5 4.41
1 2 4 -5.67
0 5 5 5.98
1 1 3 -6.21
0 1 4 7.82
1 1 2 -6.7
0 0 2 7.2
1 4 6 -7.28
0 2 1 7.95
1 3 6 -9.41
0 5 6 9.37
1 0 4 -7.96
0 1 5 8.3
1 6 4 -8.2
0 5 7 8.0
1 2 6 -7.43
0 0 6 6.25
1 3 1 -7.31
0 2 7 7.28
1 0 5 -7.32
0 0 3 6.74
1 2 0 -6.11
0 4 1 5.55
1 5 1 -4.05
0 6 5 2.82
1 7 5 -2.98
0 6 3 3.92
1 7 2 -5.33
0 6 2 7.04
1 1 6 -10.19
0 0 7 11.83
1 1 7 -12.83
0 3 7 15.31
1 7 3 -16.03
0 4 0 16.44
1 6 1 -17.85
0 7 0 18.96
1 7 1 -19.98
0 3 0 21.95
1 1 0 -22.87
0 1 1 23.06
1 0 0 -21.8
0 0 1 23.42
1 5 0 -28.61
0 6 0 26.0
1 4 7 -26.0
0 7 4 26.0
1 6 7 -26.0
0 7 7 26.0
0 6 6 26.0
1 7 6 -26.0
