1 3 5 -8.0
0 2 3 8.0
1 3 2 -8.0
0 4 5 8.0
1 5 4 -8.0
0 2 2 8.0
1 2 4 -8.0
0 1 5 8.0
1 1 3 -8.0
0 2 5 8.0
1 1 4 -8.0
0 0 3 4.9
1 1 2 -2.98
0 0 2 8.0
1 0 5 -8.0
0 0 1 6.02
1 2 6 -5.02
0 4 6 3.71
1 0 6 -2.63
0 5 2 0.01
1 5 3 1.16
0 6 2 -2.87
1 5 6 3.44
0 5 5 -3.21
1 4 7 3.49
0 5 7 -2.63
1 6 7 2.91
0 2 1 -5.16
1 4 1 5.02
0 2 7 -5.88
1 4 2 4.7
0 3 6 -4.77
1 6 3 5.77
0 3 1 -4.65
1 2 0 5.66
0 5 0 -7.03
1 4 0 6.37
0 7 3 -6.35
1 1 7 4.27
0 3 0 -2.18
1 6 0 1.3
0 0 4 -2.02
1 0 0 3.37
0 0 7 -3.3
1 6 4 3.09
0 7 4 -3.26
1 5 1 -0.3
0 6 1 3.52
1 7 5 -2.95
0 6 5 2.92
1 6 6 0.45
0 7 7 -1.13
1 7 6 3.86
0 3 7 8.0
1 1 0 -8.0
0 1 1 8.0
1 1 6 -8.0
0 7 2 8.0
1 7 1 -8.0
0 7 0 8.0
