1 3 5 -8.0
0 2 3 8.0
1 5 2 -8.0
0 5 3 8.0
1 4 2 -8.0
0 4 5 8.0
1 3 2 -8.0
0 5 1 8.0
1 6 2 -8.0
0 2 4 8.0
1 4 1 -8.0
0 5 5 8.0
1 5 4 -8.0
0 6 4 8.0
1 4 6 -8.0
0 6 3 8.0
1 5 6 -1.2
0 3 0 1.95
1 7 4 -2.61
0 7 3 3.0
1 7 2 -2.05
0 3 6 1.31
1 2 5 -1.41
0 3 1 0.72
1 5 0 0.0
0 5 7 1.41
1 2 7 -2.23
0 3 7 2.2
1 4 7 -3.8
0 1 7 5.69
1 4 0 -5.49
0 2 6 6.69
1 2 0 -5.18
0 6 1 5.73
1 1 3 -8.16
0 6 7 8.94
1 2 2 -8.68
0 1 4 9.48
1 0 4 -9.62
0 7 1 9.96
1 7 0 -10.09
0 0 2 10.43
1 1 5 -11.13
0 6 0 11.82
1 0 3 -11.64
0 0 5 11.69
1 1 6 -14.2
0 6 6 15.91
1 6 5 -16.23
0 0 7 12.95
1 7 7 -12.01
0 0 6 9.01
0 1 1 12.52
1 2 1 -8.0
0 1 2 8.0
1 0 0 -8.0
0 7 5 8.0
1 7 6 -8.0
0 0 1 8.0
1 1 0 -8.0
