Generated by WZebra 4.2.4
Date: Tue Jan 03 19:01:13 2017


Move sequence:
f5f6e6f4e3c5c6d6g4d3c3f3g5g3c4h4e2h3d7f2e7c7g6b5b4e1b6e8f8c8h5h6f7d8b8d2c2b3d1a4a5a3g7b2a2h8f1a7b7g2g1a8a6a1h1h2c1b1g8h7

First move: ##

   A  B  C  D  E  F  G  H
1 |54|58|57|39|26|47|51|55| 1
2 |45|44|37|36|17|20|50|56| 2
3 |42|38|11|10| 5|12|14|18| 3
4 |40|25|15|()|##| 4| 9|16| 4
5 |41|24| 6|##|()| 1|13|31| 5
6 |53|27| 7| 8| 3| 2|23|32| 6
7 |48|49|22|19|21|33|43|60| 7
8 |52|35|30|34|28|29|59|46| 8
   A  B  C  D  E  F  G  H

##:() - 33:31

History: <move> [<eval> <analysis> <eval> <lookahead>]

  1: f5         f5              book   2: f6         f6              book 
  3: e6         e6              book   4: f4         f4              book 
  5: e3         e3              book   6: c5         c5              book 
  7: c6         c6              book   8: d6         d6              book 
  9: g4 -3.88   g4       -3.88  book  10: d3 +3.88   d3c3     +3.88  book 
 11: c3 -5.16   c3       -5.16     1  12: f3 +5.00   f3g5e2d2 +5.00     6 
 13: g5 -6.12   g5g3c4h4 -6.12     6  14: g3 +6.38   g3c4d2c2 +6.38     6 
 15: c4 -6.97   c4h4h3b6 -6.97     6  16: h4 +6.81   h4h3b6h5 +6.81     6 
 17: e2 -7.60   e2h3d7c7 -7.60     6  18: h3 +8.24   h3c7f2f7 +8.24     6 
 19: d7 -7.48   d7f2e7c7 -7.48     6  20: f2 +8.34   f2e7c7g6 +8.34     6 
 21: e7 -8.72   e7c7g6e1 -8.72     6  22: c7 +6.80   c7g6e1h5 +6.80     6 
 23: g6 -5.54   g6f8e8e1 -5.54     6  24: b5 +3.68   b5b6b4a4 +3.68     6 
 25: b4 -3.20   b4b6h5c2 -3.20     6  26: e1 +3.55   e1b6d2c2 +3.55     6 
 27: b6 -4.30   b6e8f8c8 -4.30     6  28: e8 +4.85   e8f8c8h5 +4.85     6 
 29: f8 -4.87   f8c8h5d8 -4.87     6  30: c8 +5.16   c8h5h6f7 +5.16     6 
 31: h5 -6.02   h5h6f7d8 -6.02     6  32: h6 +5.35   h6f7d8g7 +5.35     6 
 33: f7 -5.32   f7d8b8c2 -5.32     6  34: d8 +4.48   d8b8c2c1 +4.48     6 
 35: b8 -3.79   b8c2c1a3 -3.79     6  36: d2 +2.75   d2c2b3d1 +2.75     6 
 37: c2 -2.07   c2b3a4b1 -2.07     6  38: b3 +1.62   b3a4b1d1 +1.62     6 
 39: d1 -3.23   d1a4a5a3 -3.23     6  40: a4 +3.59   a4a5a3g7 +3.59     6 
 41: a5 -2.99   a5a3g7b1 -2.99     6  42: a3 +2.49   a3g7b2h7 +2.49     6 
 43: g7 -2.59   g7c1b2b7 -2.59     6  44: b2 Loss    b2a2c1a1 Loss      6 
 45: a2 Win     a2h8f1g2 Win      16  46: h8 -2      h8f1g2g1 -2       15 
 47: f1 +2      f1a7b7g2 +2       14  48: a7 -2      a7b7g2g1 -2       13 
 49: b7 +2      b7g2g1a8 +2       12  50: g2 -2      g2g1a8a6 -2       11 
 51: g1 +2      g1a8a6a1 +2       10  52: a8 -2      a8a6a1h1 -2        9 
 53: a6 +2      a6a1h1h2 +2        8  54: a1 -2      a1h1h2c1 -2        7 
 55: h1 +2      h1h2c1b1 +2        6  56: h2 -2      h2c1b1g8 -2        5 
 57: c1 +2      c1b1g8h7 +2        4  58: b1 -2      b1g8h7   -2        3 
 59: g8 +2      g8h7     +2        2  60: h7         h7                 1 

Copyright: Gunnar Andersson & Lars Ivansson.
