Generated by WZebra 4.2.4
Date: Tue Jan 03 15:17:41 2017


Move sequence:
d3c5e6f5d6e3f4f3g6c3b5c6c4c7e7d7b6f6g5g4f7f8h3e8g3b4f2a5a3a6a4a2b7h6b3h5b8h4h7d8a7a8c8c2c1g7b2a1b1d1d2e1e2h2h1g2g1f1g8h8

First move: ##

   A  B  C  D  E  F  G  H
1 |48|49|45|50|52|58|57|55| 1
2 |32|47|44|51|53|27|56|54| 2
3 |29|35|10| 1| 6| 8|25|23| 3
4 |31|26|13|()|##| 7|20|38| 4
5 |28|11| 2|##|()| 4|19|36| 5
6 |30|17|12| 5| 3|18| 9|34| 6
7 |41|33|14|16|15|21|46|39| 7
8 |42|37|43|40|24|22|59|60| 8
   A  B  C  D  E  F  G  H

##:() - 25:39

History: <move> [<eval> <analysis> <eval> <lookahead>]

  1: d3         d3              book   2: c5         c5              book 
  3: e6         e6              book   4: f5         f5              book 
  5: d6         d6              book   6: e3         e3              book 
  7: f4         f4              book   8: f3         f3              book 
  9: g6         g6              book  10: c3         c3              book 
 11: b5 -2.44   b5       -2.44  book  12: c6 +3.42   c6b6f6c4 +3.42  book 
 13: c4 -3.96   c4       -3.96     1  14: c7 +2.95   c7e7d7b6 +2.95     6 
 15: e7 -2.97   e7d7g4b6 -2.97     6  16: d7 +4.11   d7g4b6b4 +4.11     6 
 17: b6 -3.38   b6f6d2b4 -3.38     6  18: f6 +2.95   f6d2b4a3 +2.95     6 
 19: g5 -4.19   g5b4a3h6 -4.19     6  20: g4 +4.34   g4f7h6h3 +4.34     6 
 21: f7 -4.27   f7h6h3h5 -4.27     6  22: f8 +4.30   f8h3e8g3 +4.30     6 
 23: h3 -6.09   h3e8g3b4 -6.09     6  24: e8 +5.76   e8g3b4f2 +5.76     6 
 25: g3 -6.04   g3b4f2h6 -6.04     6  26: b4 +4.66   b4f2h6d2 +4.66     6 
 27: f2 -4.00   f2a5a3h6 -4.00     6  28: a5 +3.63   a5a3h6e2 +3.63     6 
 29: a3 -5.26   a3e2a7f1 -5.26     6  30: a6 +8.58   a6a4a2b3 +8.58     6 
 31: a4 -8.25   a4a2e2b3 -8.25     6  32: a2 +9.27   a2b3h6g7 +9.27     6 
 33: b7 -11.04  b7h6e2b3 -11.04    6  34: h6 +11.43  h6d8h5h4 +11.43    6 
 35: b3 -13.73  b3h5b8h4 -13.73    6  36: h5 +13.59  h5b8h4h7 +13.59    6 
 37: b8 -13.48  b8h4h7d8 -13.48    6  38: h4 +15.07  h4h7d8c8 +15.07    6 
 39: h7 -17.05  h7d8c8g7 -17.05    6  40: d8 +18.20  d8a7a8c8 +18.20    6 
 41: a7 -17.81  a7a8c8g7 -17.81    6  42: a8 +15.73  a8c8c2g7 +15.73    6 
 43: c8 -15.75  c8c2g7e2 -15.75    6  44: c2 Win     c2c1g7b2 Win       6 
 45: c1 Loss    c1g7b2a1 Loss     16  46: g7 +14     g7b2a1d2 +14      15 
 47: b2 -14     b2a1b1d1 -14      14  48: a1 +14     a1b1d1d2 +14      13 
 49: b1 -14     b1d1d2e1 -14      12  50: d1 +14     d1d2e1e2 +14      11 
 51: d2 -14     d2e1e2h2 -14      10  52: e1 +14     e1e2h2h1 +14       9 
 53: e2 -14     e2h2h1g2 -14       8  54: h2 +14     h2h1g2g1 +14       7 
 55: h1 -14     h1g2g1f1 -14       6  56: g2 +14     g2g1f1g8 +14       5 
 57: g1 -14     g1f1g8h8 -14       4  58: f1 +14     f1g8h8   +14       3 
 59: g8 -14     g8h8     -14       2  60: h8         h8                 1 

Copyright: Gunnar Andersson & Lars Ivansson.
