Generated by WZebra 4.2.4
Date: Tue Jan 03 13:29:02 2017


Move sequence:
d3c5f6f5e6e3f4f3c4c3e2g4g5c6f2g3d2d6h4c1h3d1e1f1b5b4c2a4b3g6e7h5d7c7a3b6a5a6a7f7f8e8g7h6g8b1g2h1d8c8b8b7g1h2a1h7h8a2b2a8

First move: ##

   A  B  C  D  E  F  G  H
1 |55|46|20|22|23|24|53|48| 1
2 |58|59|27|17|11|15|47|54| 2
3 |35|29|10| 1| 6| 8|16|21| 3
4 |28|26| 9|()|##| 7|12|19| 4
5 |37|25| 2|##|()| 4|13|32| 5
6 |38|36|14|18| 5| 3|30|44| 6
7 |39|52|34|33|31|40|43|56| 7
8 |60|51|50|49|42|41|45|57| 8
   A  B  C  D  E  F  G  H

##:() - 27:37

History: <move> [<eval> <analysis> <eval> <lookahead>]

  1: d3         d3              book   2: c5         c5              book 
  3: f6         f6              book   4: f5         f5              book 
  5: e6         e6              book   6: e3         e3              book 
  7: f4         f4              book   8: f3         f3              book 
  9: c4         c4              book  10: c3         c3              book 
 11: e2 -2.52   e2       -2.52  book  12: g4 +2.52   g4g5c6b4 +2.52  book 
 13: g5 -2.52   g5c6b4f2 -2.52  book  14: c6 +3.17   c6b4f2d2 +3.17  book 
 15: f2 -1.12   f2       -1.12     1  16: g3 +2.61   g3h3d6d2 +2.61     6 
 17: d2 -3.81   d2d6c2h6 -3.81     6  18: d6 +4.61   d6h4h6c2 +4.61     6 
 19: h4 -5.20   h4c1h5e7 -5.20     6  20: c1 +4.40   c1h5e7d7 +4.40     6 
 21: h3 -4.28   h3d1e1f1 -4.28     6  22: d1 +4.89   d1e1f1c2 +4.89     6 
 23: e1 -5.66   e1f1c2e7 -5.66     6  24: f1 +6.20   f1c2e7d8 +6.20     6 
 25: b5 -7.29   b5b4c2a6 -7.29     6  26: b4 +8.34   b4c2a4b2 +8.34     6 
 27: c2 -8.23   c2a4b2h6 -8.23     6  28: a4 +7.79   a4a6e7f7 +7.79     6 
 29: b3 -7.08   b3a3b2e7 -7.08     6  30: g6 +5.97   g6e7b1d7 +5.97     6 
 31: e7 -6.62   e7h5d7c7 -6.62     6  32: h5 +7.91   h5d7c7h6 +7.91     6 
 33: d7 -8.63   d7c7h6d8 -8.63     6  34: c7 +10.00  c7h6b1a6 +10.00    6 
 35: a3 -11.78  a3b6a5a6 -11.78    6  36: b6 +11.34  b6a5a6a7 +11.34    6 
 37: a5 -12.13  a5a6a7b1 -12.13    6  38: a6 +11.30  a6h6a2b2 +11.30    6 
 39: a7 -9.47   a7h2h7b1 -9.47     6  40: f7 +8.67   f7f8e8h7 +8.67     6 
 41: f8 -9.00   f8e8g7h6 -9.00     6  42: e8 +9.92   e8g7h6h7 +9.92     6 
 43: g7 -9.52   g7h6g8h8 -9.52     6  44: h6 Win     h6g8h8b8 Win       6 
 45: g8 Loss    g8b1b8h8 Loss     16  46: b1 +10     b1b8h8h7 +10      15 
 47: g2 -10     g2h1d8c8 -10      14  48: h1 +10     h1d8c8b8 +10      13 
 49: d8 -10     d8c8b8b7 -10      12  50: c8 +10     c8b8b7g1 +10      11 
 51: b8 -10     b8b7g1h2 -10      10  52: b7 +10     b7g1h2a1 +10       9 
 53: g1 -10     g1h2a1h7 -10       8  54: h2 +10     h2a1h7h8 +10       7 
 55: a1 -10     a1h7h8a2 -10       6  56: h7 +10     h7h8a2b2 +10       5 
 57: h8 -10     h8a2b2a8 -10       4  58: a2 +10     a2b2a8   +10       3 
 59: b2 -10     b2a8     -10       2  60: a8         a8                 1 

Copyright: Gunnar Andersson & Lars Ivansson.
