Generated by WZebra 4.2.4
Date: Tue Jan 03 03:48:10 2017


Move sequence:
d3c3f5d2c4b5d1e3f4e6c2f6b3c1c5e1b4a4a6a5a3g4g5f3g6e2d7d6f2f1f7b6h4g3h3d8c8b8a7c6c7e8g7e7g1f8b1b2g8h8h7h5h6g2h1h2a1a2b7a8

First move: ##

   A  B  C  D  E  F  G  H
1 |57|47|14| 7|16|30|45|55| 1
2 |58|48|11| 4|26|29|54|56| 2
3 |21|13| 2| 1| 8|24|34|35| 3
4 |18|17| 5|()|##| 9|22|33| 4
5 |20| 6|15|##|()| 3|23|52| 5
6 |19|32|40|28|10|12|25|53| 6
7 |39|59|41|27|44|31|43|51| 7
8 |60|38|37|36|42|46|49|50| 8
   A  B  C  D  E  F  G  H

##:() - 22:42

History: <move> [<eval> <analysis> <eval> <lookahead>]

  1: d3         d3              book   2: c3         c3              book 
  3: f5         f5              book   4: d2         d2              book 
  5: c4 -3.55   c4       -3.55  book   6: b5 +3.55   b5d1e3   +3.55  book 
  7: d1 -3.55   d1e3     -3.55  book   8: e3 +5.09   e3       +5.09     1 
  9: f4 -5.45   f4d6b4g6 -5.45     6  10: e6 +5.05   e6b3c2c6 +5.05     6 
 11: c2 -4.79   c2c1b1e2 -4.79     6  12: f6 +5.84   f6b3c1b1 +5.84     6 
 13: b3 -5.34   b3c1c5e1 -5.34     6  14: c1 +6.13   c1c5c6b6 +6.13     6 
 15: c5 -4.24   c5c6b4a3 -4.24     6  16: e1 +3.58   e1b4c6d6 +3.58     6 
 17: b4 -4.27   b4a4a6a5 -4.27     6  18: a4 +3.73   a4a6a5a3 +3.73     6 
 19: a6 -5.43   a6a5a3g4 -5.43     6  20: a5 +4.91   a5a3g4g5 +4.91     6 
 21: a3 -4.58   a3g4g5f3 -4.58     6  22: g4 +6.19   g4g5f3g6 +6.19     6 
 23: g5 -6.01   g5f3g6e2 -6.01     6  24: f3 +6.50   f3g6e2d7 +6.50     6 
 25: g6 -6.38   g6e2d7d6 -6.38     6  26: e2 +6.27   e2d7d6f7 +6.27     6 
 27: d7 -5.95   d7d6f7b6 -5.95     6  28: d6 +6.56   d6h3c6f2 +6.56     6 
 29: f2 -7.49   f2f1f7c6 -7.49     6  30: f1 +9.27   f1f7b6e7 +9.27     6 
 31: f7 -10.02  f7b6e7c6 -10.02    6  32: b6 +9.88   b6e7c6h3 +9.88     6 
 33: h4 -10.44  h4g3h3d8 -10.44    6  34: g3 +11.35  g3h3e7e8 +11.35    6 
 35: h3 -11.98  h3d8a7c6 -11.98    6  36: d8 +11.20  d8b7f8c8 +11.20    6 
 37: c8 -11.56  c8b8b7e7 -11.56    6  38: b8 +11.28  b8a7c6c7 +11.28    6 
 39: a7 -12.35  a7c6c7e8 -12.35    6  40: c6 +15.64  c6c7e8g7 +15.64    6 
 41: c7 -16.67  c7e8e7g7 -16.67    6  42: e8 +19.43  e8b2a1b7 +19.43    6 
 43: g7 -23.80  g7e7g1h1 -23.80    6  44: e7 Win     e7b2a1b7 Win       6 
 45: g1 Loss    g1f8b1b2 Loss     16  46: f8 +20     f8b1b2a1 +20      15 
 47: b1 -20     b1b2g8h8 -20      14  48: b2 +20     b2g8h8h7 +20      13 
 49: g8 -20     g8h8h7h5 -20      12  50: h8 +20     h8h7h5h6 +20      11 
 51: h7 -20     h7h5h6g2 -20      10  52: h5 +20     h5h6g2h1 +20       9 
 53: h6 -20     h6g2h1h2 -20       8  54: g2 +20     g2h1h2a1 +20       7 
 55: h1 -20     h1h2a1a2 -20       6  56: h2 +20     h2a1a2b7 +20       5 
 57: a1 -20     a1a2b7a8 -20       4  58: a2 +20     a2b7a8   +20       3 
 59: b7 -20     b7a8     -20       2  60: a8         a8                 1 

Copyright: Gunnar Andersson & Lars Ivansson.
