Generated by WZebra 4.2.4
Date: Sun Mar 19 18:24:41 2017


Move sequence:
d3c5d6e3f5f4e2d2g4e6c4c3d1g3d7c1f6e7b6b4c2f1b5h3c6d8e1f2g6g5c8f7h5c7f8a4b2f3a6b3b1h6g1e8g7h8a3a2h4g8h7b8g2a1b7a5a7a8h2h1

First move: ##

   A  B  C  D  E  F  G  H
1 |54|41|16|13|27|22|43|60| 1
2 |48|37|21| 8| 7|28|53|59| 2
3 |47|40|12| 1| 4|38|14|24| 3
4 |36|20|11|()|##| 6| 9|49| 4
5 |56|23| 2|##|()| 5|30|33| 5
6 |39|19|25| 3|10|17|29|42| 6
7 |57|55|34|15|18|32|45|51| 7
8 |58|52|31|26|44|35|50|46| 8
   A  B  C  D  E  F  G  H

##:() - 22:42

History: <move> [<eval> <analysis> <eval> <lookahead>]

  1: d3         d3              book   2: c5         c5              book 
  3: d6         d6              book   4: e3         e3              book 
  5: f5         f5              book   6: f4         f4              book 
  7: e2         e2              book   8: d2         d2              book 
  9: g4         g4              book  10: e6         e6              book 
 11: c4 -4.66   c4       -4.66  book  12: c3 +5.05   c3f6     +5.05  book 
 13: d1 -4.47   d1g5b6b5 -4.47  book  14: g3 +3.78   g3       +3.78     1 
 15: d7 -11.90  d7f6f3c2 -11.90    6  16: c1 -2.24   c1f6e1f1 -2.24     6 
 17: f6 -6.24   f6e1f3f2 -6.24     6  18: e7 -0.52   e7f3h4g5 -0.52     6 
 19: b6 -6.98   b6f2c6c2 -6.98     6  20: b4 -1.20   b4f3h4g5 -1.20     6 
 21: c2 -9.30   c2c6b1h4 -9.30     6  22: f1 +0.55   f1b1c6b5 +0.55     6 
 23: b5 -7.11   b5c6b1a4 -7.11     6  24: h3 -6.35   h3c6e1g6 -6.35     6 
 25: c6 +3.25   c6e1a3b3 +3.25     6  26: d8 -10.71  d8e1c7g6 -10.71    6 
 27: e1 +5.50   e1c7f3f2 +5.50     6  28: f2 -14.84  f2c7f3a3 -14.84    6 
 29: g6 +0.29   g6g5b3c7 +0.29     6  30: g5 -10.49  g5b3c7f3 -10.49    6 
 31: c8 +7.16   c8f3h6a5 +7.16     6  32: f7 -8.77   f7h5c7e8 -8.77     6 
 33: h5 +7.66   h5c7f3b8 +7.66     6  34: c7 -10.84  c7f3a4b7 -10.84    6 
 35: f8 +1.42   f8b8f3a4 +1.42     6  36: a4 -9.70   a4e8f3b8 -9.70     6 
 37: b2 +0.49   b2b3a6f3 +0.49     6  38: f3 -2.27   f3e8b3a5 -2.27     6 
 39: a6 -5.30   a6b3a5h4 -5.30     6  40: b3 +3.65   b3a5h4a3 +3.65     6 
 41: b1 -7.02   b1h4a3e8 -7.02     6  42: h6 -0.87   h6e8h4a3 -0.87     6 
 43: g1 -11.48  g1e8h4a1 -11.48    6  44: e8 Win     e8h4a1a5 Win       6 
 45: g7 Loss    g7h8h4g8 Loss     16  46: h8 +20     h8h4g8a5 +20      15 
 47: a3 -20     a3a2h4g8 -20      14  48: a2 +20     a2h4g8h7 +20      13 
 49: h4 -20     h4g8h7b8 -20      12  50: g8 +20     g8h7b8g2 +20      11 
 51: h7 -20     h7b8g2a1 -20      10  52: b8 +20     b8g2a1b7 +20       9 
 53: g2 -20     g2a1b7a5 -20       8  54: a1 +20     a1b7a5a7 +20       7 
 55: b7 -20     b7a5a7a8 -20       6  56: a5 +20     a5a7a8h2 +20       5 
 57: a7 -20     a7a8h2h1 -20       4  58: a8 +20     a8h2h1   +20       3 
 59: h2 -20     h2h1     -20       2  60: h1         h1                 1 

Copyright: Gunnar Andersson & Lars Ivansson.
