1 3 5 14.0
0 2 5 -14.0
1 2 4 14.0
0 2 3 -14.0
1 1 4 14.0
0 4 5 -14.0
1 3 6 14.0
0 1 3 -14.0
1 2 2 14.0
0 0 4 -14.0
1 0 5 14.0
0 0 6 -14.0
1 3 2 14.0
0 4 2 -14.0
1 0 2 -0.51
0 2 7 -0.7
1 5 3 0.99
0 1 5 -1.86
1 5 6 1.95
0 5 4 -3.45
1 5 2 2.63
0 6 3 -2.0
1 5 5 2.26
0 6 4 -2.78
1 4 6 0.2
0 6 5 1.58
1 3 7 -1.98
0 5 7 1.55
1 2 6 1.12
0 4 7 -0.9
1 7 2 0.53
0 5 1 -1.52
1 6 2 1.48
0 7 3 -3.27
1 7 4 3.2
0 7 5 -2.48
1 7 6 2.55
0 6 1 -3.45
1 4 1 4.45
0 1 7 -2.84
1 6 6 2.57
0 1 6 -2.98
1 4 0 3.59
0 2 1 -64
1 1 2 64
0 6 0 -14.0
1 3 1 14.0
0 3 0 -14.0
1 5 0 14.0
0 7 0 -14.0
1 7 1 14.0
0 0 3 -14.0
1 0 7 14.0
0 1 1 -14.0
1 1 0 14.0
0 0 0 -14.0
1 0 1 14.0
0 2 0 -14.0
1 6 7 14.0
0 7 7 -14.0
