1 3 5 -4.0
0 2 3 4.0
1 3 2 -4.0
0 4 5 4.0
1 5 4 -4.0
0 2 2 4.0
1 5 3 -4.0
0 3 6 4.0
1 2 5 -4.0
0 5 5 4.0
1 2 6 1.16
0 4 2 -1.16
1 5 2 1.16
0 2 4 -1.16
1 1 4 1.16
0 6 4 -1.16
1 6 3 1.16
0 6 5 -1.16
1 7 4 1.16
0 0 5 0.05
1 3 7 -1.27
0 1 5 0.42
1 4 6 0.74
0 5 6 -2.03
1 5 7 1.15
0 2 7 -0.94
1 7 5 0.97
0 4 7 -0.45
1 1 7 1.5
0 6 2 -1.21
1 7 1 2.1
0 6 7 -4.65
1 7 7 4.61
0 7 6 -4.76
1 6 6 5.49
0 1 6 -6.59
1 0 3 7.54
0 0 4 -7.91
1 0 7 9.22
0 0 6 -8.5
1 6 1 6.74
0 5 1 -6.76
1 5 0 6.92
0 7 2 64
1 7 3 -64
0 7 0 4.0
1 3 1 -4.0
0 2 0 4.0
1 3 0 -4.0
0 6 0 4.0
1 4 0 -4.0
0 4 1 4.0
1 2 1 -4.0
0 1 3 4.0
1 1 2 -4.0
0 1 0 4.0
1 0 0 -4.0
0 0 1 4.0
1 0 2 -4.0
0 1 1 4.0
