1 3 5 26.0
0 2 3 -26.0
1 5 2 26.0
0 5 3 -26.0
1 4 2 26.0
0 5 1 -26.0
1 2 2 26.0
0 2 1 -26.0
1 1 3 26.0
0 0 4 -26.0
1 6 2 4.81
0 2 4 -6.05
1 3 2 6.34
0 4 1 -6.24
1 5 0 6.43
0 4 5 -5.38
1 3 0 6.18
0 4 0 -7.98
1 3 1 7.67
0 6 3 -7.5
1 5 4 7.62
0 2 0 -7.91
1 1 0 5.88
0 7 2 -3.68
1 5 5 3.07
0 6 5 -4.66
1 6 4 3.52
0 7 5 -5.13
1 1 2 5.71
0 1 4 -5.8
1 0 3 5.88
0 2 6 -6.23
1 3 6 5.26
0 5 6 -7.08
1 0 5 6.16
0 3 7 -6.48
1 2 7 6.23
0 1 7 -5.55
1 1 5 5.91
0 4 6 -6.27
1 4 7 6.24
0 5 7 -6.41
1 2 5 7.06
0 1 6 -64
1 6 6 64
0 0 2 -26.0
1 7 6 26.0
0 7 4 -26.0
1 0 7 26.0
0 7 7 -26.0
1 6 7 26.0
0 6 0 -26.0
1 7 0 26.0
0 1 1 -26.0
1 7 1 26.0
0 6 1 -26.0
1 7 3 26.0
0 0 6 -26.0
1 0 1 26.0
0 0 0 -26.0
