1 3 5 10.0
0 2 3 -10.0
1 5 2 10.0
0 5 3 -10.0
1 4 2 10.0
0 4 5 -10.0
1 3 2 10.0
0 5 1 -10.0
1 6 2 10.0
0 5 4 -10.0
1 6 3 10.0
0 2 2 -10.0
1 4 1 10.0
0 5 0 -10.0
1 4 6 10.0
0 5 5 -10.0
1 2 4 10.0
0 1 5 -10.0
1 5 6 10.0
0 7 2 4.53
1 2 1 -4.49
0 3 1 4.14
1 1 4 -3.76
0 2 0 3.11
1 1 3 -2.99
0 0 5 4.35
1 0 4 -4.67
0 7 3 2.25
1 2 6 -1.11
0 0 3 2.71
1 0 2 -3.36
0 0 1 2.97
1 1 2 -2.71
0 6 4 1.66
1 4 0 -2.59
0 3 0 2.14
1 6 5 -2.11
0 2 5 3.05
1 7 4 -2.05
0 2 7 -1.32
1 1 1 2.82
0 3 7 -4.59
1 7 5 4.69
0 0 0 -64
1 3 6 64
0 7 6 -10.0
1 7 1 10.0
0 7 0 -10.0
1 6 6 10.0
0 6 1 -10.0
1 1 0 10.0
0 7 7 -10.0
1 6 7 10.0
0 4 7 -10.0
1 5 7 10.0
1 0 6 10.0
0 0 7 -10.0
1 6 0 10.0
0 1 6 -10.0
1 1 7 10.0
