1 3 5 -6.0
0 2 3 6.0
1 5 2 -6.0
0 5 3 6.0
1 4 2 -6.0
0 4 5 6.0
1 3 2 -6.0
0 5 1 6.0
1 6 2 -6.0
0 4 1 6.0
1 2 2 -6.0
0 6 3 6.0
1 2 4 -6.0
0 3 1 6.0
1 3 0 -6.0
0 2 0 6.0
1 5 0 -6.0
0 2 1 6.0
1 4 0 -6.0
0 6 0 6.0
1 5 6 -6.0
0 4 6 6.0
1 5 4 -6.0
0 5 5 6.0
1 5 7 -4.18
0 1 3 4.23
1 6 5 -4.23
0 2 5 5.12
1 1 5 -5.12
0 2 6 5.12
1 1 2 -11.17
0 3 6 10.7
1 0 3 -9.28
0 1 4 6.93
1 7 4 -7.07
0 7 5 6.89
1 6 4 -6.21
0 4 7 6.38
1 3 7 -7.36
0 2 7 6.82
1 1 7 -6.09
0 6 6 6.54
1 7 7 -7.35
0 6 7 64
1 1 6 -64
0 0 7 6.0
1 0 6 -6.0
0 0 5 6.0
1 0 4 -6.0
0 7 1 6.0
1 7 2 -6.0
0 7 3 6.0
1 7 6 -6.0
0 6 1 6.0
1 7 0 -6.0
0 1 1 6.0
1 1 0 -6.0
0 0 2 6.0
1 0 0 -6.0
0 0 1 6.0
