1 3 5 6.0
0 2 3 -6.0
1 5 2 6.0
0 5 3 -6.0
1 4 2 6.0
0 4 5 -6.0
1 2 5 6.0
0 5 5 -6.0
1 2 4 6.0
0 1 4 -6.0
1 2 2 6.0
0 2 6 -6.0
1 3 6 6.0
0 1 5 -6.0
1 5 6 -1.58
0 3 7 1.58
1 4 6 1.07
0 5 4 2.45
1 2 7 -0.34
0 1 7 -0.63
1 4 7 0.86
0 5 7 -0.86
1 0 4 0.73
0 3 2 -0.01
1 3 1 -0.75
0 1 2 1.94
1 0 2 -1.2
0 0 5 1.56
1 0 3 -1.85
0 1 3 2.95
1 0 6 -3.38
0 5 1 2.36
1 6 2 -1.58
0 4 1 1.84
1 6 3 -2.02
0 6 4 -0.22
1 7 5 1.08
0 2 1 -0.21
1 6 5 0.91
0 7 2 -2.55
1 7 3 2.95
0 1 1 -4.57
1 5 0 4.77
0 6 0 -64
1 6 7 64
0 7 7 -6.0
1 7 0 6.0
0 7 6 -6.0
1 7 4 6.0
0 6 6 -6.0
1 6 1 6.0
0 7 1 -6.0
1 0 1 6.0
0 1 6 -6.0
1 0 0 6.0
0 1 0 -6.0
1 2 0 6.0
0 4 0 -6.0
1 3 0 6.0
1 0 7 6.0
