1 3 5 2.0
0 2 5 -2.0
1 2 4 2.0
0 4 5 -2.0
1 3 6 2.0
0 1 4 -2.0
1 5 4 2.0
0 2 6 -2.0
1 5 5 2.0
0 2 3 -2.0
1 1 5 2.0
0 5 3 2.27
1 2 7 -2.75
0 0 5 2.61
1 4 2 -2.39
0 5 2 3.16
1 3 2 -1.61
0 4 1 2.08
1 6 4 -0.52
0 5 1 0.16
1 2 2 -1.88
0 1 2 1.8
1 3 1 -1.36
0 4 6 1.14
1 1 3 -0.25
0 2 0 -1.3
1 6 2 0.88
0 0 2 -0.04
1 3 7 0.02
0 5 7 -0.62
1 0 3 -0.58
0 0 4 1.95
1 2 1 -1.23
0 7 2 -0.16
1 6 0 0.91
0 5 0 -0.16
1 4 0 0.45
0 6 5 -1.8
1 4 7 0.41
0 1 7 -1.29
1 5 6 0.95
0 6 7 -2.05
1 3 0 0.88
0 7 0 -64
1 6 3 64
0 7 5 -2.0
1 1 1 2.0
0 1 0 -2.0
1 0 0 2.0
0 7 3 -2.0
1 7 1 2.0
0 6 1 -2.0
1 7 4 2.0
0 0 1 -2.0
1 0 6 2.0
0 6 6 -2.0
1 7 7 2.0
0 7 6 -2.0
1 0 7 2.0
0 1 6 -2.0
