1 3 5 -7
0 2 3 7
1 3 2 -7
0 4 5 7
1 5 4 -7
0 2 2 7
1 5 3 -7
0 2 5 7
1 2 4 -7
0 1 3 7
1 4 6 -7
0 4 2 7
1 3 6 -7
0 5 2 7
1 1 5 -7
0 6 3 7
1 7 2 -7
0 6 5 7
1 6 4 -1
0 5 5 3
1 1 4 -3
0 5 6 3
1 7 5 -5
0 7 3 1
1 7 4 -3
0 2 7 -4
1 0 2 4
0 4 7 -4
1 6 2 -3
0 2 6 1
1 5 1 -5
0 4 1 3
1 4 0 -7
0 6 1 -1
1 3 1 -7
0 0 4 6
1 0 5 -8
0 0 6 7
1 3 7 -8
0 6 0 7
1 7 0 -8
0 5 7 7
1 1 6 -8
0 1 2 8
1 5 0 -8
0 6 6 7
1 2 1 -7
0 1 1 7
1 0 3 -7
0 0 1 7
1 6 7 -7
0 0 7 7
1 1 7 -7
0 1 0 7
1 2 0 -7
0 7 7 7
1 7 6 -7
0 3 0 7
1 0 0 -7
0 7 1 7
