1 3 5 -5
0 2 5 5
1 2 4 -5
0 4 5 5
1 4 6 -5
0 1 4 5
1 1 5 -5
0 3 6 5
1 5 5 -7
0 2 3 0
1 2 7 -7
0 3 7 -2
1 4 7 -4
0 5 4 1
1 0 3 -6
0 1 3 4
1 4 2 -8
0 2 6 6
1 5 3 -8
0 5 6 4
1 1 7 -7
0 3 2 6
1 1 2 -8
0 6 5 7
1 7 5 -8
0 0 2 7
1 3 1 -8
0 0 4 7
1 0 5 -8
0 0 6 8
1 6 4 -7
0 2 1 4
1 5 2 -6
0 2 2 3
1 2 0 -7
0 6 2 6
1 5 7 -6
0 3 0 -1
1 4 1 -7
0 5 1 2
1 7 2 -6
0 7 4 3
1 7 3 -4
0 6 3 8
1 1 0 -8
0 0 0 5
1 0 1 -5
0 1 6 5
1 0 7 -5
0 1 1 5
1 5 0 -5
0 4 0 5
0 6 0 5
1 6 1 -5
0 7 0 5
1 7 1 -5
0 7 6 5
1 6 6 -5
0 6 7 5
1 7 7 -5
