1 3 5 7
0 2 3 -7
1 3 2 7
0 4 5 -7
1 5 4 7
0 2 2 -7
1 5 3 7
0 5 5 -7
1 2 4 7
0 1 5 -7
1 4 6 7
0 3 6 -5
1 6 5 -3
0 4 2 -2
1 2 7 -2
0 5 2 -4
1 2 6 -3
0 6 4 -6
1 7 3 4
0 5 6 -3
1 6 3 -1
0 4 7 -6
1 3 7 5
0 6 6 -7
1 1 4 6
0 0 5 -8
1 7 7 5
0 7 2 -8
1 6 2 6
0 2 5 -8
1 5 1 6
0 7 5 -8
1 7 1 7
0 5 0 -8
1 1 3 7
0 7 4 -7
1 7 6 7
0 1 2 -8
1 0 3 7
0 0 4 -8
1 6 7 7
0 1 7 -8
1 0 6 7
0 1 6 -8
1 4 0 8
0 3 0 -7
1 2 1 7
0 3 1 -7
1 2 0 7
0 6 1 -7
1 4 1 7
0 1 0 -7
1 0 2 7
0 6 0 -7
1 7 0 7
0 0 1 -7
1 0 7 7
0 5 7 -7
1 0 0 7
0 1 1 -7
