1 3 5 7
0 2 5 -7
1 2 4 7
0 2 3 -7
1 1 5 7
0 4 5 -7
1 1 3 7
0 2 6 -7
1 3 7 7
0 0 2 2
1 5 5 -2
0 2 7 1
1 1 7 -1
0 0 5 1
1 1 2 2
0 3 6 -4
1 4 6 3
0 2 2 -4
1 1 4 5
0 0 4 -6
1 0 3 7
0 5 6 -6
1 5 4 3
0 5 7 -4
1 1 6 4
0 0 7 -4
1 4 7 5
0 0 6 -5
1 6 5 4
0 6 4 -2
1 7 3 2
0 7 5 -2
1 6 3 2
0 7 4 -2
1 7 6 4
0 6 6 -5
1 3 2 2
0 5 3 -2
1 5 2 4
0 4 2 -4
1 6 2 5
0 7 1 -6
1 5 1 6
0 5 0 -8
1 1 1 8
0 1 0 -7
1 3 1 7
0 7 2 -7
1 7 0 7
0 4 1 -7
1 6 0 7
0 6 1 -7
1 0 0 7
0 4 0 -7
1 7 7 7
0 6 7 -7
1 2 0 7
0 2 1 -7
1 0 1 7
1 3 0 7
