1 3 5 -5
0 2 3 5
1 4 2 -5
0 3 6 5
1 2 5 -5
0 4 5 5
1 2 4 -1
0 2 6 1
1 1 4 -1
0 3 2 1
1 1 3 -1
0 2 2 1
1 1 5 -1
0 0 2 1
1 3 1 -2
0 0 3 2
1 0 5 -2
0 1 2 2
1 4 6 -2
0 5 7 2
1 0 4 -2
0 0 6 2
1 3 7 -3
0 5 6 3
1 5 4 -3
0 4 7 3
1 6 7 -4
0 5 5 4
1 2 7 -4
0 1 6 4
1 6 5 -4
0 2 1 4
1 1 0 -4
0 5 3 4
1 5 2 -4
0 4 1 4
1 4 0 -4
0 3 0 4
1 2 0 -4
0 5 0 3
1 6 0 -3
0 5 1 4
1 1 1 -4
0 0 0 8
1 0 1 -8
0 7 0 5
1 6 1 -5
0 7 2 5
1 7 1 -5
0 6 2 5
1 0 7 -5
0 1 7 5
1 6 4 -5
0 7 6 5
1 6 3 -5
0 7 5 5
1 7 4 -5
0 7 7 5
1 7 3 -5
0 6 6 5
