1 3 5 22.0
0 2 3 -22.0
1 5 2 22.0
0 5 3 -22.0
1 4 2 22.0
0 4 5 -22.0
1 3 2 22.0
0 4 1 -22.0
1 5 1 22.0
0 6 2 -22.0
1 1 3 22.0
0 1 2 -22.0
1 5 4 2.91
0 2 2 -1.87
1 3 0 1.87
0 5 0 -1.87
1 2 1 1.87
0 3 1 -1.87
1 2 0 3.41
0 0 3 -6.23
1 4 0 5.2
0 1 0 -3.6
1 2 4 3.54
0 6 3 -5.09
1 6 1 5.91
0 5 5 -5.71
1 4 6 6.57
0 1 5 -6.55
1 6 5 6.59
0 6 4 -7.8
1 7 1 8.06
0 3 6 -7.44
1 1 4 8.36
0 0 4 -9.07
1 2 5 10.89
0 5 7 -10.95
1 2 6 11.31
0 5 6 -10.8
1 7 5 10.89
0 3 7 -12.02
1 2 7 14.3
0 7 4 -14.11
1 4 7 13.31
0 1 7 -12.2
1 7 6 11.23
0 7 7 -11.02
1 6 7 10.62
0 6 6 -12.36
1 0 7 15.02
0 7 3 -16.67
1 0 6 14.83
0 0 5 -15.94
1 1 6 13.71
0 6 0 -22.0
1 7 0 22.0
0 7 2 -22.0
1 0 0 22.0
1 1 1 22.0
0 0 2 -22.0
1 0 1 22.0
