1 3 5 2.0
0 2 5 -2.0
1 2 4 2.0
0 4 5 -2.0
1 5 4 2.0
0 3 2 -2.0
1 4 6 -5.38
0 2 3 6.3
1 1 4 -5.13
0 3 6 4.01
1 1 5 -3.33
0 2 6 3.47
1 2 7 -3.64
0 5 3 3.38
1 1 3 -3.74
0 5 5 2.86
1 2 2 -2.97
0 5 7 2.13
1 3 7 -0.48
0 2 1 -1.19
1 5 6 1.41
0 0 2 -0.78
1 1 2 1.6
0 0 5 -2.93
1 6 5 3.6
0 7 5 -2.88
1 3 1 3.09
0 4 2 -3.99
1 0 3 4.7
0 0 4 -3.54
1 2 0 3.88
0 1 6 -4.66
1 6 6 4.84
0 4 0 -4.17
1 1 1 5.19
0 3 0 -5.91
1 5 0 6.77
0 6 7 -5.8
1 6 2 5.53
0 5 2 -5.23
1 6 3 3.88
0 7 3 -3.89
1 7 7 3.05
0 4 7 -2.45
1 1 0 1.95
0 4 1 -1.63
1 7 6 3.37
0 7 4 -3.86
1 6 4 3.59
0 7 2 -2.98
1 0 7 2.27
0 0 0 -1.68
1 5 1 3.76
0 0 6 -2.0
1 1 7 2.0
0 0 1 -2.0
1 7 1 2.0
0 6 1 -2.0
1 6 0 2.0
0 7 0 -2.0
