1 3 5 40.0
0 2 3 -40.0
1 5 2 40.0
0 4 5 -40.0
1 2 4 40.0
0 5 3 -1.56
1 5 5 0.54
0 1 5 -0.65
1 5 4 0.96
0 2 5 -0.31
1 4 2 1.02
0 3 6 -2.7
1 2 7 3.7
0 6 4 -3.31
1 6 3 2.87
0 5 6 -2.3
1 4 6 2.0
0 6 5 -1.48
1 7 4 2.64
0 5 7 -2.06
1 3 7 2.93
0 3 2 -3.83
1 2 6 2.23
0 4 7 -1.32
1 6 7 1.41
0 7 2 -1.99
1 6 2 3.23
0 4 1 -5.72
1 7 5 5.73
0 5 1 -5.38
1 5 0 3.31
0 7 3 -2.48
1 7 1 5.51
0 6 6 -6.83
1 4 0 6.78
0 3 0 -8.49
1 2 1 8.58
0 1 2 -8.88
1 2 0 11.98
0 6 1 -13.7
1 0 5 12.95
0 3 1 -14.96
1 7 0 18.02
0 1 7 -21.05
1 0 7 21.77
0 0 6 -19.84
1 7 6 20.97
0 1 6 -22.61
1 0 4 21.96
0 1 4 -21.98
1 1 3 24.56
0 6 0 -24.13
1 7 7 24.86
0 0 3 -40.0
1 0 2 40.0
0 1 0 -40.0
1 0 0 40.0
1 0 1 40.0
0 2 2 -40.0
1 1 1 40.0
