1 3 5 -10.0
0 2 3 10.0
1 3 2 -10.0
0 4 5 10.0
1 5 4 -10.0
0 2 5 10.0
1 5 5 -10.0
0 6 4 -5.32
1 4 6 5.03
0 3 6 -4.85
1 5 3 5.48
0 6 5 -5.98
1 5 6 5.51
0 5 7 -4.17
1 2 4 3.77
0 1 3 -4.09
1 7 3 3.15
0 7 4 -3.01
1 1 2 2.65
0 6 2 -2.39
1 2 7 2.34
0 3 7 -1.54
1 7 5 0.41
0 5 2 0.59
1 4 2 -0.12
0 4 1 0.59
1 3 1 -0.4
0 2 2 0.94
1 2 1 -0.91
0 3 0 0.84
1 4 0 -1.89
0 2 0 2.01
1 6 3 -0.69
0 7 2 -0.73
1 5 1 0.34
0 7 6 -0.98
1 4 7 1.79
0 1 7 -0.5
1 6 6 -0.57
0 0 3 1.07
1 2 6 -1.03
0 1 5 1.84
1 1 4 -3.34
0 0 4 3.48
1 0 5 -3.55
0 0 6 4.41
1 1 0 -6.51
0 7 1 7.17
1 0 1 -7.16
0 6 0 6.85
1 0 2 -7.15
0 0 0 7.91
1 5 0 -6.59
0 7 7 10.0
1 6 7 -10.0
0 1 1 10.0
1 0 7 -10.0
0 1 6 10.0
1 6 1 -10.0
0 7 0 10.0
