1 3 5 6.0
0 2 5 -6.0
1 2 4 6.0
0 2 3 -6.0
1 3 2 6.0
0 5 4 -6.0
1 5 3 6.0
0 3 6 -6.0
1 5 5 6.0
0 3 1 -6.0
1 2 2 6.0
0 4 2 -6.0
1 5 2 6.0
0 4 1 -6.0
1 3 0 6.0
0 5 0 -6.0
1 2 1 6.0
0 1 3 -2.37
1 4 0 -0.66
0 2 0 0.96
1 1 2 -1.87
0 0 3 2.52
1 1 5 -2.05
0 1 4 1.97
1 2 6 -3.16
0 4 5 3.13
1 5 6 -2.13
0 0 6 3.7
1 2 7 -5.52
0 4 6 5.25
1 0 5 -5.84
0 0 4 7.84
1 5 1 -8.4
0 4 7 5.34
1 0 1 -3.41
0 3 7 2.88
1 5 7 -1.43
0 6 0 -0.28
1 1 0 -0.03
0 0 0 1.66
1 0 2 -1.87
0 6 2 0.6
1 6 3 -0.08
0 7 4 -0.38
1 7 3 -0.31
0 7 2 1.1
1 6 4 -2.54
0 7 5 3.48
1 7 1 -2.69
0 7 0 0.91
1 6 5 0.02
0 7 6 1.69
1 6 6 4.23
0 1 1 -6.0
1 0 7 6.0
0 7 7 -6.0
1 6 7 6.0
0 1 7 -6.0
1 6 1 6.0
1 1 6 6.0
