1 3 5 -4.0
0 2 5 4.0
1 2 4 -4.0
0 2 3 4.0
1 1 5 -4.0
0 5 5 4.0
1 1 3 -1.51
0 4 5 1.51
1 2 2 -3.05
0 1 4 2.11
1 0 5 -3.13
0 3 6 4.05
1 5 4 -4.18
0 0 2 3.53
1 1 2 -3.62
0 2 6 4.79
1 4 6 -4.69
0 3 7 3.66
1 5 7 -3.83
0 4 7 4.36
1 4 2 -3.02
0 5 3 4.43
1 2 7 -4.93
0 4 1 4.1
1 5 2 -4.52
0 6 2 6.05
1 5 6 -5.45
0 0 4 3.52
1 0 3 -3.49
0 0 6 4.88
1 4 0 -4.12
0 0 1 3.99
1 3 2 -4.34
0 3 0 3.45
1 2 0 -3.14
0 5 1 3.84
1 7 2 -3.59
0 6 1 3.12
1 7 0 -3.6
0 3 1 3.27
1 6 3 -4.99
0 6 5 6.23
1 6 4 -5.23
0 6 6 4.23
1 1 6 -3.84
0 7 4 3.09
1 7 3 -1.4
0 0 7 0.21
1 1 7 0.72
0 7 1 -0.43
1 6 0 -0.38
0 5 0 0.3
1 7 5 2.36
0 6 7 4.0
1 2 1 -4.0
0 1 1 4.0
1 1 0 -4.0
0 0 0 4.0
1 7 6 -4.0
0 7 7 4.0
