1 3 5 -14.0
0 2 3 14.0
1 4 2 -14.0
0 5 3 14.0
1 2 4 -14.0
0 4 5 14.0
1 5 4 -14.0
0 5 5 14.0
1 5 2 -14.0
0 3 2 14.0
1 6 3 -14.0
0 2 2 14.0
1 4 6 -14.0
0 1 5 14.0
1 1 4 -8.18
0 1 3 7.92
1 0 3 -7.01
0 2 5 7.7
1 0 4 -7.41
0 0 5 7.57
1 6 5 -7.78
0 6 4 7.59
1 7 4 -8.12
0 7 5 7.83
1 0 6 -7.84
0 4 1 8.13
1 5 1 -7.36
0 3 1 6.55
1 2 6 -6.16
0 4 7 6.58
1 3 6 -7.14
0 5 6 8.3
1 6 2 -7.95
0 7 3 9.52
1 1 2 -10.63
0 1 1 10.29
1 5 7 -11.72
0 3 7 12.21
1 2 0 -13.96
0 2 1 13.72
1 2 7 -13.98
0 0 2 14.46
1 7 2 -13.67
0 7 1 64
1 5 0 -64
0 0 7 14.0
1 6 6 -14.0
0 3 0 14.0
1 0 0 -14.0
0 4 0 14.0
1 0 1 -14.0
0 1 0 14.0
1 6 1 -14.0
0 1 7 14.0
1 1 6 -14.0
0 6 7 14.0
0 7 6 14.0
1 7 7 -14.0
0 7 0 14.0
1 6 0 -14.0
