1 3 5 36.0
0 2 5 -36.0
1 2 4 36.0
0 2 3 -36.0
1 1 4 36.0
0 3 6 -36.0
1 2 6 36.0
0 1 5 -36.0
1 0 4 2.52
0 2 7 -1.82
1 4 7 -2.69
0 3 7 2.66
1 1 7 1.76
0 4 6 -3.68
1 5 6 7.2
0 0 6 -8.05
1 4 5 5.27
0 5 4 -6.37
1 5 3 5.97
0 5 5 -5.4
1 2 2 6.55
0 1 2 -7.2
1 3 2 6.34
0 1 3 -8.68
1 5 2 8.74
0 4 1 -8.71
1 4 2 9.91
0 3 1 -11.82
1 6 3 10.71
0 6 7 -11.41
1 2 1 12.7
0 3 0 -13.69
1 6 4 14.83
0 6 5 -13.7
1 0 3 14.28
0 7 2 -13.99
1 7 3 15.22
0 5 1 -14.34
1 0 2 15.66
0 7 5 -16.02
1 0 5 15.21
0 7 4 -13.79
1 0 7 13.89
0 1 1 -13.84
1 6 2 13.48
0 5 7 -15.38
1 0 0 19.73
0 0 1 -22.93
1 7 7 24.25
0 1 6 -24.66
1 1 0 24.2
0 2 0 -20.63
1 7 6 22.79
0 6 1 -36.0
1 6 6 36.0
1 7 0 36.0
0 5 0 -36.0
1 7 1 36.0
0 4 0 -36.0
1 6 0 36.0
