1 3 5 -16.0
0 2 3 16.0
1 3 2 -16.0
0 4 5 16.0
1 5 4 -16.0
0 2 2 16.0
1 5 3 -16.0
0 2 5 16.0
1 2 4 -16.0
0 1 3 16.0
1 4 6 -16.0
0 4 2 16.0
1 3 6 -16.0
0 5 2 16.0
1 1 5 -16.0
0 6 3 16.0
1 1 4 -16.0
0 6 5 16.0
1 0 2 -16.0
0 5 5 16.0
1 1 2 -16.0
0 0 3 16.0
1 6 4 -16.0
0 0 1 16.0
1 7 5 -5.94
0 2 6 5.94
1 7 2 -3.79
0 5 7 5.91
1 5 6 -5.95
0 0 6 3.84
1 0 5 -2.8
0 0 4 3.63
1 6 2 -4.34
0 7 4 5.07
1 2 7 -5.1
0 7 6 5.68
1 2 1 -5.55
0 3 1 5.98
1 5 1 -6.44
0 3 0 7.77
1 7 3 -7.95
0 7 1 6.45
1 4 1 -6.12
0 6 7 64
1 1 0 -64
0 2 0 16.0
1 4 0 -16.0
0 5 0 16.0
1 6 1 -16.0
0 0 0 16.0
1 1 1 -16.0
0 1 6 16.0
1 3 7 -16.0
0 7 0 16.0
1 6 0 -16.0
0 6 6 16.0
1 7 7 -16.0
0 4 7 16.0
1 0 7 -16.0
0 1 7 16.0
