1 3 5 2.0
0 2 5 -2.0
1 2 4 2.0
0 2 3 -2.0
1 1 5 2.0
0 5 4 -2.0
1 2 2 -1.91
0 1 3 1.91
1 3 2 -2.23
0 4 5 3.09
1 1 4 -2.22
0 1 2 1.92
1 5 2 -1.59
0 3 1 0.63
1 2 1 -0.14
0 4 2 -0.21
1 4 1 0.56
0 0 4 -1.25
1 5 6 0.96
0 3 6 -1.02
1 2 6 0.71
0 4 6 -1.72
1 0 2 1.38
0 3 0 -2.09
1 0 5 3.09
0 0 3 -3.93
1 5 3 4.74
0 4 0 -5.78
1 6 5 7.14
0 6 2 -7.23
1 5 5 6.68
0 6 4 -7.15
1 4 7 6.95
0 2 7 -7.46
1 7 3 7.83
0 1 1 -8.62
1 0 0 8.38
0 0 1 -7.31
1 3 7 6.14
0 5 7 -4.4
1 6 3 4.7
0 7 2 -4.21
1 5 1 1.61
0 5 0 -64
1 6 1 64
0 7 0 -2.0
1 7 1 2.0
0 1 7 -2.0
1 6 7 2.0
0 7 7 -2.0
1 1 6 2.0
0 0 7 -2.0
1 0 6 2.0
0 7 6 -2.0
1 7 4 2.0
0 7 5 -2.0
1 6 6 2.0
1 1 0 2.0
0 2 0 -2.0
1 6 0 2.0
