1 3 5 2.0
0 2 3 -2.0
1 5 2 2.0
0 5 3 -2.0
1 4 2 2.0
0 4 5 -2.0
1 2 5 2.0
0 5 5 -2.0
1 2 4 2.0
0 1 4 -2.0
1 1 3 2.0
0 2 6 -2.0
1 3 6 2.0
0 1 5 -2.0
1 6 4 2.0
0 2 7 -1.34
1 5 4 2.0
0 0 2 -1.34
1 5 6 1.34
0 6 5 -1.34
1 0 4 1.34
0 7 3 -1.34
1 0 3 1.34
0 0 5 0.05
1 7 5 0.65
0 4 7 -0.12
1 7 6 0.73
0 3 2 -0.96
1 5 7 -0.61
0 7 4 -0.63
1 7 2 2.41
0 4 6 -3.16
1 2 2 4.14
0 6 3 -2.9
1 6 6 2.08
0 1 2 -1.56
1 3 7 0.64
0 5 1 -1.89
1 4 1 2.98
0 7 7 -1.89
1 6 7 0.95
0 7 1 -0.77
1 5 0 1.58
0 2 1 -64
1 3 1 64
0 6 2 -2.0
1 1 0 2.0
0 3 0 -2.0
1 1 6 2.0
0 2 0 -2.0
1 4 0 2.0
0 0 6 -2.0
1 1 1 2.0
0 0 0 -2.0
1 0 1 2.0
0 6 0 -2.0
1 6 1 2.0
0 7 0 -2.0
1 0 7 2.0
1 1 7 2.0
