1 3 5 -4.0
0 2 5 4.0
1 2 4 -4.0
0 4 5 4.0
1 5 4 -4.0
0 3 2 4.0
1 2 2 -4.0
0 2 3 4.0
1 1 4 -4.0
0 1 3 4.0
1 5 2 -0.08
0 3 1 2.03
1 4 6 -2.55
0 6 4 2.63
1 0 2 -2.06
0 5 3 2.26
1 1 2 -2.96
0 0 5 3.78
1 2 1 -4.85
0 1 5 4.35
1 2 6 -3.59
0 0 3 4.4
1 4 1 -3.82
0 2 0 3.45
1 4 2 -2.42
0 5 0 2.92
1 5 1 -3.45
0 5 6 2.09
1 6 3 -2.55
0 4 7 1.59
1 3 6 -1.88
0 6 0 2.3
1 3 0 -2.38
0 4 0 3.03
1 1 1 -2.69
0 2 7 2.59
1 7 4 -3.39
0 7 3 2.9
1 7 2 -3.49
0 6 2 3.28
1 7 1 -2.15
0 6 5 0.84
1 5 5 -0.21
0 7 5 64
1 7 6 -64
0 3 7 4.0
1 0 4 -4.0
0 0 0 4.0
1 1 0 -4.0
0 0 1 4.0
1 7 0 -4.0
0 6 1 4.0
1 5 7 -4.0
0 6 7 4.0
1 1 6 -4.0
0 0 6 4.0
1 0 7 -4.0
0 1 7 4.0
1 7 7 -4.0
0 6 6 4.0
