1 3 5 -4.0
0 2 5 4.0
1 2 4 -4.0
0 2 3 4.0
1 4 2 -4.0
0 4 5 4.0
1 1 4 -6.21
0 1 3 5.04
1 3 2 -3.59
0 5 4 2.92
1 5 5 -2.83
0 5 2 3.18
1 5 3 -3.7
0 4 1 2.58
1 3 1 -2.47
0 1 2 3.01
1 4 6 -3.09
0 2 2 3.15
1 2 1 -3.48
0 6 3 2.96
1 5 0 -3.24
0 6 4 3.98
1 3 6 -3.48
0 1 5 3.57
1 6 5 -5.32
0 2 6 6.47
1 5 1 -7.66
0 6 2 9.36
1 7 5 -11.28
0 2 0 12.32
1 0 2 -11.7
0 0 3 12.45
1 7 4 -14.17
0 5 7 15.16
1 0 4 -14.27
0 0 5 15.88
1 0 6 -15.87
0 5 6 14.84
1 4 7 -15.55
0 3 7 15.51
1 0 1 -15.23
0 7 3 13.31
1 7 2 -12.94
0 4 0 64
1 3 0 -64
0 6 0 4.0
1 6 6 -4.0
0 7 1 4.0
1 7 0 -4.0
0 7 7 4.0
1 6 1 -4.0
0 6 7 4.0
1 1 6 -4.0
0 7 6 4.0
1 2 7 -4.0
0 1 1 4.0
1 1 0 -4.0
0 1 7 4.0
0 0 0 4.0
0 0 7 4.0
