1 3 5 -32.0
0 2 5 32.0
1 2 4 -32.0
0 4 5 32.0
1 3 6 -32.0
0 2 6 32.0
1 4 6 -32.0
0 2 7 32.0
1 1 5 -0.67
0 1 4 0.96
1 3 7 -0.41
0 4 7 1.54
1 2 3 -2.12
0 0 5 2.87
1 5 4 -3.48
0 1 7 2.98
1 5 3 -2.25
0 1 3 2.1
1 0 3 -2.5
0 2 2 0.83
1 5 6 -0.84
0 3 2 1.71
1 5 7 -2.88
0 6 7 2.35
1 5 5 -2.53
0 4 2 2.15
1 0 4 -3.39
0 0 2 4.35
1 1 2 -4.94
0 0 1 4.71
1 3 1 -4.59
0 6 5 6.44
1 4 1 -9.76
0 2 1 15.7
1 6 4 -21.82
0 7 4 23.81
1 1 1 -22.5
0 0 0 22.4
1 1 0 -22.77
0 6 3 19.84
1 7 3 -18.63
0 7 2 18.08
1 7 5 -17.48
0 7 6 64
1 6 2 -64
0 6 1 32.0
1 1 6 -32.0
0 4 0 32.0
1 6 6 -32.0
0 7 7 32.0
1 5 2 -32.0
0 0 6 32.0
1 5 1 -32.0
0 2 0 32.0
1 3 0 -32.0
0 5 0 32.0
1 7 0 -32.0
0 7 1 32.0
1 0 7 -32.0
1 6 0 -32.0
