1 3 5 8.0
0 2 5 -8.0
1 2 4 8.0
0 2 3 -8.0
1 3 2 8.0
0 5 4 -8.0
1 1 4 8.0
0 1 2 -8.0
1 1 3 8.0
0 2 2 -8.0
1 1 5 8.0
0 4 2 -8.0
1 2 1 8.0
0 0 3 -8.0
1 0 4 -8.04
0 0 5 -8.0
1 3 1 -8.76
0 0 6 8.27
1 0 1 -8.04
0 4 1 7.62
1 5 1 -7.22
0 4 6 5.93
1 3 6 -5.04
0 3 7 5.2
1 5 3 -5.8
0 2 6 3.69
1 5 5 -2.73
0 2 0 2.38
1 4 5 -2.66
0 3 0 1.96
1 4 0 -0.85
0 5 0 0.12
1 5 7 -1.19
0 6 1 0.96
1 1 7 1.81
0 5 6 -5.09
1 6 7 4.73
0 1 6 -0.93
1 1 1 1.14
0 6 2 -2.91
1 5 2 2.41
0 0 0 -3.83
1 0 7 4.52
0 2 7 -64
1 0 2 64
0 1 0 -8.0
1 4 7 8.0
0 6 3 -8.0
1 6 4 8.0
0 6 5 -8.0
1 7 5 8.0
0 7 4 -8.0
1 7 0 8.0
0 7 2 -8.0
1 7 3 8.0
0 7 6 -8.0
1 6 0 8.0
0 7 1 -8.0
1 7 7 8.0
0 6 6 -8.0
