1 3 5 -8.0
0 2 5 8.0
1 2 4 -8.0
0 4 5 8.0
1 3 6 -8.0
0 2 3 8.0
1 1 3 -8.0
0 1 4 8.0
1 5 5 -8.0
0 2 6 8.0
1 4 6 -8.0
0 1 5 8.0
1 0 5 -0.09
0 5 7 0.09
1 5 6 -0.09
0 0 4 3.02
1 5 2 -5.68
0 0 6 6.29
1 0 3 -6.08
0 0 2 5.03
1 5 4 -4.27
0 4 7 2.45
1 3 2 -3.93
0 6 4 3.09
1 2 7 -3.77
0 2 2 5.74
1 5 3 -5.84
0 6 7 7.23
1 1 1 -7.3
0 4 2 4.83
1 4 1 -3.38
0 6 5 5.2
1 6 3 -5.26
0 6 2 6.14
1 7 5 -6.85
0 7 4 7.52
1 1 7 -7.85
0 5 1 5.73
1 3 1 -4.53
0 7 6 4.57
1 7 2 -3.91
0 0 0 2.82
1 2 1 -2.13
0 2 0 64
1 0 1 -64
0 3 0 8.0
1 0 7 -8.0
0 1 0 8.0
1 7 3 -8.0
0 7 1 8.0
1 6 6 -8.0
0 1 2 8.0
1 6 1 -8.0
0 7 7 8.0
1 1 6 -8.0
0 6 0 8.0
1 7 0 -8.0
0 3 7 8.0
1 5 0 -8.0
0 4 0 8.0
