Generated by WZebra 4.2.4
Date: Tue Jan 03 07:29:23 2017


Move sequence:
d3c5d6e3b5c6d7c3f5e6f6e7f4c4f3c8f2e2f8f7e8a6b4a5d8g8a3b6a4a2c7b3d1g3g4h4d2c2g5h5h3c1h6e1g6b8b7g7h8a8a7h7a1f1g2g1h1h2b1b2

First move: ##

   A  B  C  D  E  F  G  H
1 |53|59|42|33|44|54|56|57| 1
2 |30|60|38|37|18|17|55|58| 2
3 |27|32| 8| 1| 4|15|34|41| 3
4 |29|23|14|()|##|13|35|36| 4
5 |24| 5| 2|##|()| 9|39|40| 5
6 |22|28| 6| 3|10|11|45|43| 6
7 |51|47|31| 7|12|20|48|52| 7
8 |50|46|16|25|21|19|26|49| 8
   A  B  C  D  E  F  G  H

##:() - 30:34

History: <move> [<eval> <analysis> <eval> <lookahead>]

  1: d3         d3              book   2: c5         c5              book 
  3: d6         d6              book   4: e3         e3              book 
  5: b5         b5              book   6: c6 +3.96   c6       +3.96  book 
  7: d7 -3.96   d7c3f5e6 -3.96  book   8: c3 +3.96   c3f5e6   +3.96  book 
  9: f5 -3.96   f5e6     -3.96  book  10: e6 +6.99   e6       +6.99     1 
 11: f6 -5.91   f6e7f4c4 -5.91     6  12: e7 +5.04   e7f4c4f3 +5.04     6 
 13: f4 -4.62   f4c4f3c8 -4.62     6  14: c4 +5.16   c4f3b4c7 +5.16     6 
 15: f3 -5.51   f3c8f8e8 -5.51     6  16: c8 +5.89   c8f2e2e8 +5.89     6 
 17: f2 -6.27   f2e2f7b4 -6.27     6  18: e2 +6.12   e2f8e8f7 +6.12     6 
 19: f8 -5.30   f8e8f7a6 -5.30     6  20: f7 +5.78   f7b4b3e8 +5.78     6 
 21: e8 -4.35   e8d8b8c7 -4.35     6  22: a6 +3.38   a6b4d8b8 +3.38     6 
 23: b4 -4.16   b4a5d8g8 -4.16     6  24: a5 +4.34   a5d8g8a3 +4.34     6 
 25: d8 -2.71   d8g8a3c7 -2.71     6  26: g8 +3.48   g8e1g3d2 +3.48     6 
 27: a3 -4.44   a3b6a4a2 -4.44     6  28: b6 +4.16   b6a4a2c7 +4.16     6 
 29: a4 -2.95   a4a2b3c7 -2.95     6  30: a2 +2.47   a2e1c7b3 +2.47     6 
 31: c7 -2.54   c7b3d1g3 -2.54     6  32: b3 +3.44   b3d1g3g4 +3.44     6 
 33: d1 -3.60   d1g3g4h4 -3.60     6  34: g3 +2.91   g3g4h4d2 +2.91     6 
 35: g4 -3.17   g4h4d2c1 -3.17     6  36: h4 +2.86   h4d2c2g5 +2.86     6 
 37: d2 -3.18   d2c2g5b8 -3.18     6  38: c2 +4.56   c2g5b8b7 +4.56     6 
 39: g5 -4.79   g5h5h6h7 -4.79     6  40: h5 +2.95   h5h6h7c1 +2.95     6 
 41: h3 -3.34   h3h2c1b8 -3.34     6  42: c1 +3.40   c1h6e1g6 +3.40     6 
 43: h6 -3.20   h6e1g6b8 -3.20     6  44: e1 Win     e1g6b8b7 Win       6 
 45: g6 Loss    g6b8b7g7 Loss     16  46: b8 +4      b8b7g7h8 +4       15 
 47: b7 -4      b7g7h8a8 -4       14  48: g7 +4      g7h8a8a7 +4       13 
 49: h8 -4      h8a8a7h7 -4       12  50: a8 +4      a8a7h7a1 +4       11 
 51: a7 -4      a7h7a1f1 -4       10  52: h7 +4      h7a1f1g2 +4        9 
 53: a1 -4      a1f1g2g1 -4        8  54: f1 +4      f1g2g1h1 +4        7 
 55: g2 -4      g2g1h1h2 -4        6  56: g1 +4      g1h1h2b1 +4        5 
 57: h1 -4      h1h2b1b2 -4        4  58: h2 +4      h2b1b2   +4        3 
 59: b1 -4      b1b2     -4        2  60: b2         b2                 1 

Copyright: Gunnar Andersson & Lars Ivansson.
