Generated by WZebra 4.2.4
Date: Sun Mar 19 15:58:28 2017


Move sequence:
c4e3f4c5d6f3e6b4c3c6b3f6c7f5b5a5a6a3b6d2f7e7d3c8d7f8e1d8g3e2g4a4a2g5d1c1b1c2g7g6h5h8f2h6b7a8b2a1h7h4h3h2g8e8a7b8g2h1g1f1

First move: ##

   A  B  C  D  E  F  G  H
1 |48|37|36|35|27|60|59|58| 1
2 |33|47|38|20|30|43|57|52| 2
3 |18|11| 9|23| 2| 6|29|51| 3
4 |32| 8| 1|()|##| 3|31|50| 4
5 |16|15| 4|##|()|14|34|41| 5
6 |17|19|10| 5| 7|12|40|44| 6
7 |55|45|13|25|22|21|39|49| 7
8 |46|56|24|28|54|26|53|42| 8
   A  B  C  D  E  F  G  H

##:() - 21:43

History: <move> [<eval> <analysis> <eval> <lookahead>]

  1: c4         c4              book   2: e3         e3              book 
  3: f4         f4              book   4: c5         c5              book 
  5: d6         d6              book   6: f3         f3              book 
  7: e6         e6              book   8: b4         b4              book 
  9: c3         c3              book  10: c6         c6              book 
 11: b3 -0.61   b3       -0.61  book  12: f6 +0.61   f6c7     +0.61  book 
 13: c7 -8.47   c7       -8.47     1  14: f5 -4.01   f5b5a5a6 -4.01     6 
 15: b5 -6.70   b5a5a6d3 -6.70     6  16: a5 -5.68   a5a6d3a4 -5.68     6 
 17: a6 -3.80   a6d3a4e7 -3.80     6  18: a3 -8.08   a3b6d7a4 -8.08     6 
 19: b6 +0.72   b6d7a4a7 +0.72     6  20: d2 -12.09  d2f7d7a4 -12.09    6 
 21: f7 +0.97   f7d7e7a2 +0.97     6  22: e7 -14.34  e7d3c8a4 -14.34    6 
 23: d3 +1.77   d3a2g4e2 +1.77     6  24: c8 -12.87  c8d7c2c1 -12.87    6 
 25: d7 +3.30   d7e8d8a4 +3.30     6  26: f8 -18.63  f8d1d8a4 -18.63    6 
 27: e1 +5.24   e1c1a4a7 +5.24     6  28: d8 -13.40  d8e8c1a4 -13.40    6 
 29: g3 +7.64   g3a4a2f2 +7.64     6  30: e2 -8.91   e2a4a7g4 -8.91     6 
 31: g4 +0.09   g4a4a2g5 +0.09     6  32: a4 -0.81   a4a2g5h6 -0.81     6 
 33: a2 -2.35   a2g5f1f2 -2.35     6  34: g5 -10.89  g5f1f2h6 -10.89    6 
 35: d1 -0.87   d1c1f2c2 -0.87     6  36: c1 -3.94   c1f2c2h6 -3.94     6 
 37: b1 +2.48   b1c2f2h4 +2.48     6  38: c2 +1.46   c2f2h4h6 +1.46     6 
 39: g7 -11.80  g7g6f2h8 -11.80    6  40: g6 +1.03   g6f2h8b7 +1.03     6 
 41: h5 -15.82  h5h8h7h6 -15.82    6  42: h8 +4.09   h8f2h6b7 +4.09     6 
 43: f2 -8.33   f2h6h7h4 -8.33     6  44: h6 Win     h6b7h4b8 Win       6 
 45: b7 Loss    b7a8g8h7 Loss     16  46: a8 +22     a8g8h7e8 +22      15 
 47: b2 -22     b2a1h7h4 -22      14  48: a1 +22     a1h7h4h3 +22      13 
 49: h7 -22     h7h4h3h2 -22      12  50: h4 +22     h4h3h2g8 +22      11 
 51: h3 -22     h3h2g8e8 -22      10  52: h2 +22     h2g8e8a7 +22       9 
 53: g8 -22     g8e8a7b8 -22       8  54: e8 +22     e8a7b8g2 +22       7 
 55: a7 -22     a7b8g2h1 -22       6  56: b8 +22     b8g2h1g1 +22       5 
 57: g2 -22     g2h1g1f1 -22       4  58: h1 +22     h1g1f1   +22       3 
 59: g1 -22     g1f1     -22       2  60: f1         f1                 1 

Copyright: Gunnar Andersson & Lars Ivansson.
