Generated by WZebra 4.2.4
Date: Sun Mar 19 16:44:21 2017


Move sequence:
f5f6e6d6e7g5c5c6c4c3g6g4h4d3f4g3f3e3f2h3c7d7b5f8b4f7b6b3e2d2h5a5c1d1e1a6b7f1g1a8a3g2h2a2a1b2a4c2b1b8h1h6d8g7a7c8e8g8h8h7

First move: ##

   A  B  C  D  E  F  G  H
1 |45|49|33|34|35|38|39|51| 1
2 |44|46|48|30|29|19|42|43| 2
3 |41|28|10|14|18|17|16|20| 3
4 |47|25| 9|()|##|15|12|13| 4
5 |32|23| 7|##|()| 1| 6|31| 5
6 |36|27| 8| 4| 3| 2|11|52| 6
7 |55|37|21|22| 5|26|54|60| 7
8 |40|50|56|53|57|24|58|59| 8
   A  B  C  D  E  F  G  H

##:() - 51:13

History: <move> [<eval> <analysis> <eval> <lookahead>]

  1: f5         f5              book   2: f6         f6              book 
  3: e6         e6              book   4: d6         d6              book 
  5: e7         e7              book   6: g5         g5              book 
  7: c5         c5              book   8: c6         c6              book 
  9: c4         c4              book  10: c3         c3              book 
 11: g6         g6              book  12: g4         g4              book 
 13: h4         h4              book  14: d3         d3              book 
 15: f4 +0.20   f4       +0.20  book  16: g3 +1.77   g3f2h3h2 +1.77  book 
 17: f3 -9.17   f3       -9.17     1  18: e3 -2.39   e3d7f7f2 -2.39     6 
 19: f2 -8.69   f2f8d8h3 -8.69     6  20: h3 -2.95   h3c7d7e2 -2.95     6 
 21: c7 -3.80   c7h5h6h7 -3.80     6  22: d7 +5.81   d7h2f8e2 +5.81     6 
 23: b5 -15.32  b5f8b6b4 -15.32    6  24: f8 +0.72   f8d8h5h6 +0.72     6 
 25: b4 -13.48  b4b6e2h5 -13.48    6  26: f7 +4.04   f7e2d2b6 +4.04     6 
 27: b6 -10.66  b6b3e2d1 -10.66    6  28: b3 -3.73   b3e2d1e1 -3.73     6 
 29: e2 -9.56   e2a6h5c8 -9.56     6  30: d2 -2.91   d2h5c8b7 -2.91     6 
 31: h5 -3.77   h5c8b7h6 -3.77     6  32: a5 -13.70  a5c1c8b7 -13.70    6 
 33: c1 +4.98   c1c8b7f1 +4.98     6  34: d1 -9.63   d1e1c8b7 -9.63     6 
 35: e1 +8.05   e1c8b7f1 +8.05     6  36: a6 -16.28  a6b7f1d8 -16.28    6 
 37: b7 +7.04   b7f1g1a8 +7.04     6  38: f1 -17.74  f1g2h2c8 -17.74    6 
 39: g1 +7.45   g1a8a3c2 +7.45     6  40: a8 -16.25  a8c2b2h2 -16.25    6 
 41: a3 +9.38   a3c2b1g2 +9.38     6  42: g2 -17.84  g2h2d8g8 -17.84    6 
 43: h2 +17.21  h2d8g8h8 +17.21    6  44: a2 Loss    a2a4c2d8 Loss      6 
 45: a1 Win     a1b2d8h6 Win      16  46: b2 -38     b2d8h6h1 -38      15 
 47: a4 +38     a4c2b1b8 +38      14  48: c2 -38     c2b1b8h1 -38      13 
 49: b1 +38     b1b8h1h6 +38      12  50: b8 -38     b8h1h6d8 -38      11 
 51: h1 +38     h1h6d8g7 +38      10  52: h6 -38     h6d8g7a7 -38       9 
 53: d8 +38     d8g7a7c8 +38       8  54: g7 -38     g7a7c8e8 -38       7 
 55: a7 +38     a7c8e8g8 +38       6  56: c8 -38     c8e8g8h8 -38       5 
 57: e8 +38     e8g8h8h7 +38       4  58: g8 -38     g8h8h7   -38       3 
 59: h8 +38     h8h7     +38       2  60: h7         h7                 1 

Copyright: Gunnar Andersson & Lars Ivansson.
