Generated by WZebra 4.2.4
Date: Tue Jan 03 13:18:31 2017


Move sequence:
c4e3f4c5d6f3e6c6d3c2b4c3b5a6b3a5a4d7e7b6d2f2f5e2d8a3b2g4c7a1h3c8g3g5a2f6f7e8g6f8e1h4h5g1g7h8b7b8a8a7d1f1h1c1g8h7h6g2b1h2

First move: ##

   A  B  C  D  E  F  G  H
1 |30|59|54|51|41|52|44|53| 1
2 |35|27|10|21|24|22|58|60| 2
3 |26|15|12| 9| 2| 6|33|31| 3
4 |17|11| 1|()|##| 3|28|42| 4
5 |16|13| 4|##|()|23|34|43| 5
6 |14|20| 8| 5| 7|36|39|57| 6
7 |50|47|29|18|19|37|45|56| 7
8 |49|48|32|25|38|40|55|46| 8
   A  B  C  D  E  F  G  H

##:() - 34:30

History: <move> [<eval> <analysis> <eval> <lookahead>]

  1: c4         c4              book   2: e3         e3              book 
  3: f4         f4              book   4: c5         c5              book 
  5: d6         d6              book   6: f3         f3              book 
  7: e6         e6              book   8: c6         c6              book 
  9: d3         d3              book  10: c2         c2              book 
 11: b4 +1.42   b4       +1.42  book  12: c3 -1.42   c3b5b6b3 -1.42  book 
 13: b5 +2.81   b5b6b3a6 +2.81  book  14: a6 -3.31   a6       -3.31     1 
 15: b3 +1.74   b3a5d2a4 +1.74     6  16: a5 -1.08   a5d2e2a4 -1.08     6 
 17: a4 +1.33   a4b6a7g4 +1.33     6  18: d7 -1.55   d7a7b6e7 -1.55     6 
 19: e7 +1.70   e7b6a7g4 +1.70     6  20: b6 -0.63   b6d8g4c7 -0.63     6 
 21: d2 -0.81   d2f5f6c7 -0.81     6  22: f2 -0.19   f2f5c1e2 -0.19     6 
 23: f5 +2.00   f5e2d8a3 +2.00     6  24: e2 -3.23   e2d8a3b2 -3.23     6 
 25: d8 +4.31   d8g4c7a3 +4.31     6  26: a3 -5.11   a3b2g4c7 -5.11     6 
 27: b2 +4.88   b2g4c7a1 +4.88     6  28: g4 -4.89   g4c7a1g3 -4.89     6 
 29: c7 +6.13   c7a1h3h5 +6.13     6  30: a1 -7.38   a1h3h5g3 -7.38     6 
 31: h3 +7.23   h3b7g3g5 +7.23     6  32: c8 -8.15   c8g3g5a2 -8.15     6 
 33: g3 +9.81   g3g5a2f6 +9.81     6  34: g5 -7.21   g5a2f6f7 -7.21     6 
 35: a2 +6.59   a2f6b1c1 +6.59     6  36: f6 -6.49   f6f7h5g6 -6.49     6 
 37: f7 +5.07   f7e8b8a8 +5.07     6  38: e8 -4.73   e8b8a8h6 -4.73     6 
 39: g6 +5.22   g6f8e1g1 +5.22     6  40: f8 -4.46   f8e1g1b7 -4.46     6 
 41: e1 +3.35   e1g1b7b8 +3.35     6  42: h4 -4.26   h4b7f1g1 -4.26     6 
 43: h5 +3.73   h5g1b7b8 +3.73     6  44: g1 Loss    g1a7a8g7 Loss      6 
 45: g7 Win     g7h8b7h6 Win      16  46: h8 -4      h8b7h6a7 -4       15 
 47: b7 +4      b7b8a8a7 +4       14  48: b8 -4      b8a8a7d1 -4       13 
 49: a8 +4      a8a7d1f1 +4       12  50: a7 -4      a7d1f1h1 -4       11 
 51: d1 +4      d1f1h1c1 +4       10  52: f1 -4      f1h1c1g8 -4        9 
 53: h1 +4      h1c1g8h7 +4        8  54: c1 -4      c1g8h7h6 -4        7 
 55: g8 +4      g8h7h6g2 +4        6  56: h7 -4      h7h6g2b1 -4        5 
 57: h6 +4      h6g2b1h2 +4        4  58: g2 -4      g2b1h2   -4        3 
 59: b1 +4      b1h2     +4        2  60: h2         h2                 1 

Copyright: Gunnar Andersson & Lars Ivansson.
