Generated by WZebra 4.2.4
Date: Sun Mar 19 16:33:14 2017


Move sequence:
e6f4d3e7f3e3f6d6f5g6d7g5g3c6h6c8c7c4f8h5d8h7d2g4c5c3h4h3e2f2b4c1g7f1b8a5b2b3c2b5a2f7e1d1h8g8h2e8g2a8a4a1b1a3b6a6b7a7g1h1

First move: ##

   A  B  C  D  E  F  G  H
1 |52|53|32|44|43|34|59|60| 1
2 |41|37|39|23|29|30|49|47| 2
3 |54|38|26| 3| 6| 5|13|28| 3
4 |51|31|18|()|##| 2|24|27| 4
5 |36|40|25|##|()| 9|12|20| 5
6 |56|55|14| 8| 1| 7|10|15| 6
7 |58|57|17|11| 4|42|33|22| 7
8 |50|35|16|21|48|19|46|45| 8
   A  B  C  D  E  F  G  H

##:() - 23:41

History: <move> [<eval> <analysis> <eval> <lookahead>]

  1: e6         e6              book   2: f4         f4              book 
  3: d3         d3              book   4: e7         e7              book 
  5: f3         f3              book   6: e3         e3              book 
  7: f6         f6              book   8: d6         d6              book 
  9: f5         f5              book  10: g6         g6              book 
 11: d7         d7              book  12: g5         g5              book 
 13: g3 +0.00   g3       +0.00  book  14: c6 +3.45   c6e8f8g8 +3.45  book 
 15: h6 -8.38   h6       -8.38     1  16: c8 +2.44   c8f7h4e2 +2.44     6 
 17: c7 -10.54  c7c5e8f7 -10.54    6  18: c4 +0.87   c4b6b5c5 +0.87     6 
 19: f8 -7.01   f8c5d8h5 -7.01     6  20: h5 +0.54   h5d8c5g4 +0.54     6 
 21: d8 -3.68   d8c5f7h7 -3.68     6  22: h7 +1.08   h7g4f2h4 +1.08     6 
 23: d2 -7.11   d2f2c5h4 -7.11     6  24: g4 +8.10   g4b6e8c5 +8.10     6 
 25: c5 -15.38  c5c3h4h3 -15.38    6  26: c3 +6.79   c3h4h3f2 +6.79     6 
 27: h4 -6.67   h4h3f2e2 -6.67     6  28: h3 +7.71   h3b4b3c2 +7.71     6 
 29: e2 -17.64  e2f2b3c1 -17.64    6  30: f2 +12.09  f2b3b4c2 +12.09    6 
 31: b4 -24.95  b4c1e1f1 -24.95    6  32: c1 +14.10  c1f1d1g7 +14.10    6 
 33: g7 -19.38  g7f1c2b3 -19.38    6  34: f1 +22.06  f1c2b3e1 +22.06    6 
 35: b8 -28.84  b8b3c2b1 -28.84    6  36: a5 +15.73  a5c2e8f7 +15.73    6 
 37: b2 -26.54  b2e8f7h8 -26.54    6  38: b3 +20.79  b3c2e8h2 +20.79    6 
 39: c2 -14.45  c2e8f7a1 -14.45    6  40: b5 +9.87   b5a2b6d1 +9.87     6 
 41: a2 -17.25  a2b6d1e1 -17.25    6  42: f7 +4.98   f7h8g8h2 +4.98     6 
 43: e1 -13.59  e1d1h8g8 -13.59    6  44: d1 Win     d1h8g8h2 Win       6 
 45: h8 Loss    h8g8h2g2 Loss     16  46: g8 +18     g8h2g2a3 +18      15 
 47: h2 -18     h2e8g2a8 -18      14  48: e8 +18     e8g2a8a4 +18      13 
 49: g2 -18     g2a8a4a1 -18      12  50: a8 +18     a8a4a1b1 +18      11 
 51: a4 -18     a4a1b1a3 -18      10  52: a1 +18     a1b1a3b6 +18       9 
 53: b1 -18     b1a3b6a6 -18       8  54: a3 +18     a3b6a6b7 +18       7 
 55: b6 -18     b6a6b7a7 -18       6  56: a6 +18     a6b7a7g1 +18       5 
 57: b7 -18     b7a7g1h1 -18       4  58: a7 +18     a7g1h1   +18       3 
 59: g1 -18     g1h1     -18       2  60: h1         h1                 1 

Copyright: Gunnar Andersson & Lars Ivansson.
