Generated by WZebra 4.2.4
Date: Tue Jan 03 00:30:19 2017


Move sequence:
c4e3f4c5d6f3e6c3d3e2d2f2f5c6g3e1b4g4b3b6b5g5h4c2d7g6f6a6a4a3a2c7b8h3h6h5h2f7e8e7f8g7c1c8a7a8h8d1d8a5h7b7g1a1f1g8g2h1b2b1

First move: ##

   A  B  C  D  E  F  G  H
1 |54|60|43|48|16|55|53|58| 1
2 |31|59|24|11|10|12|57|37| 2
3 |30|19| 8| 9| 2| 6|15|34| 3
4 |29|17| 1|()|##| 3|18|23| 4
5 |50|21| 4|##|()|13|22|36| 5
6 |28|20|14| 5| 7|27|26|35| 6
7 |45|52|32|25|40|38|42|51| 7
8 |46|33|44|49|39|41|56|47| 8
   A  B  C  D  E  F  G  H

##:() - 22:42

History: <move> [<eval> <analysis> <eval> <lookahead>]

  1: c4         c4              book   2: e3         e3              book 
  3: f4         f4              book   4: c5         c5              book 
  5: d6         d6              book   6: f3         f3              book 
  7: e6         e6              book   8: c3         c3              book 
  9: d3         d3              book  10: e2         e2              book 
 11: d2         d2              book  12: f2         f2              book 
 13: f5         f5              book  14: c6         c6              book 
 15: g3 -3.55   g3       -3.55  book  16: e1 +4.01   e1c1d1   +4.01  book 
 17: b4 -5.70   b4       -5.70     1  18: g4 +5.71   g4b3b6b5 +5.71     6 
 19: b3 -5.83   b3c2b5g5 -5.83     6  20: b6 +5.79   b6b5g5c7 +5.79     6 
 21: b5 -6.98   b5g5c7h4 -6.98     6  22: g5 +6.26   g5h4c2f6 +6.26     6 
 23: h4 -7.66   h4c2f6a6 -7.66     6  24: c2 +8.49   c2f6d7e7 +8.49     6 
 25: d7 -9.27   d7g6f6h3 -9.27     6  26: g6 +10.95  g6f6a6a5 +10.95    6 
 27: f6 -11.41  f6a6a4c7 -11.41    6  28: a6 +11.91  a6a4c7b8 +11.91    6 
 29: a4 -11.90  a4a3a2c7 -11.90    6  30: a3 +12.86  a3a2c7h7 +12.86    6 
 31: a2 -13.66  a2c7b8e7 -13.66    6  32: c7 +14.32  c7h7e8b2 +14.32    6 
 33: b8 -15.23  b8e7f7h6 -15.23    6  34: h3 +14.99  h3h6h5h2 +14.99    6 
 35: h6 -15.27  h6h5h2g2 -15.27    6  36: h5 +13.91  h5h2e8c8 +13.91    6 
 37: h2 -14.95  h2f7e7g7 -14.95    6  38: f7 +16.05  f7e8e7f8 +16.05    6 
 39: e8 -17.34  e8e7f8g7 -17.34    6  40: e7 +17.47  e7b1c8d8 +17.47    6 
 41: f8 -17.10  f8g7c1d1 -17.10    6  42: g7 +16.27  g7g1f1a5 +16.27    6 
 43: c1 -15.64  c1c8d8g8 -15.64    6  44: c8 Win     c8d8g8h8 Win       6 
 45: a7 Loss    a7a8h8d8 Loss     16  46: a8 +20     a8h8d8d1 +20      15 
 47: h8 -20     h8d1d8a5 -20      14  48: d1 +20     d1d8a5h7 +20      13 
 49: d8 -20     d8a5h7b7 -20      12  50: a5 +20     a5h7b7g1 +20      11 
 51: h7 -20     h7b7g1a1 -20      10  52: b7 +20     b7g1a1f1 +20       9 
 53: g1 -20     g1a1f1g8 -20       8  54: a1 +20     a1f1g8g2 +20       7 
 55: f1 -20     f1g8g2h1 -20       6  56: g8 +20     g8g2h1b2 +20       5 
 57: g2 -20     g2h1b2b1 -20       4  58: h1 +20     h1b2b1   +20       3 
 59: b2 -20     b2b1     -20       2  60: b1         b1                 1 

Copyright: Gunnar Andersson & Lars Ivansson.
