Generated by WZebra 4.2.4
Date: Mon Jan 02 23:06:17 2017


Move sequence:
c4e3f6b4f3g3c3d2a4c5b3d6b5e6c6d7c8f7c2b6e7d8a7b8f8c1d3g5f4f5g4h5h4h3e8g8c7b2g6a6a5a2h6h7e2f2g2a3a1b1g1f1h1h2d1e1h8g7a8b7

First move: ##

   A  B  C  D  E  F  G  H
1 |49|50|26|55|56|52|51|53| 1
2 |42|38|19| 8|45|46|47|54| 2
3 |48|11| 7|27| 2| 5| 6|34| 3
4 | 9| 4| 1|()|##|29|31|33| 4
5 |41|13|10|##|()|30|28|32| 5
6 |40|20|15|12|14| 3|39|43| 6
7 |23|60|37|16|21|18|58|44| 7
8 |59|24|17|22|35|25|36|57| 8
   A  B  C  D  E  F  G  H

##:() - 34:30

History: <move> [<eval> <analysis> <eval> <lookahead>]

  1: c4         c4              book   2: e3         e3              book 
  3: f6         f6              book   4: b4         b4              book 
  5: f3         f3              book   6: g3         g3              book 
  7: c3         c3              book   8: d2 -4.95   d2       -4.95  book 
  9: a4 +4.95   a4c5b3f4 +4.95  book  10: c5 -4.95   c5b3f4c2 -4.95  book 
 11: b3 +8.12   b3f4c2e6 +8.12  book  12: d6 -8.12   d6b5     -8.12  book 
 13: b5 +5.55   b5       +5.55     1  14: e6 -5.10   e6e7d7c2 -5.10     6 
 15: c6 +5.06   c6d7c8e7 +5.06     6  16: d7 -5.57   d7c8f7e7 -5.57     6 
 17: c8 +5.56   c8b6c7a5 +5.56     6  18: f7 -6.27   f7c2f5d3 -6.27     6 
 19: c2 +7.80   c2d8e8a3 +7.80     6  20: b6 -7.80   b6e7d8c7 -7.80     6 
 21: e7 +6.95   e7d8c7a3 +6.95     6  22: d8 -7.52   d8a7e8c7 -7.52     6 
 23: a7 +8.35   a7e8c7b8 +8.35     6  24: b8 -11.85  b8f8g6c7 -11.85    6 
 25: f8 +16.59  f8g6c7a3 +16.59    6  26: c1 -16.42  c1c7a3a2 -16.42    6 
 27: d3 +16.64  d3g6f4g5 +16.64    6  28: g5 -17.43  g5f4f5e2 -17.43    6 
 29: f4 +17.04  f4f5g4b2 +17.04    6  30: f5 -17.01  f5e2f2g4 -17.01    6 
 31: g4 +15.47  g4h5h4h3 +15.47    6  32: h5 -14.88  h5e1d1b1 -14.88    6 
 33: h4 +14.30  h4h3e8g8 +14.30    6  34: h3 -12.47  h3g7a3g6 -12.47    6 
 35: e8 +12.48  e8g8c7b2 +12.48    6  36: g8 -13.02  g8c7b2f2 -13.02    6 
 37: c7 +12.38  c7a6a5b2 +12.38    6  38: b2 -11.17  b2e1a3a5 -11.17    6 
 39: g6 +9.76   g6a2h6a6 +9.76     6  40: a6 -9.51   a6a5a2h6 -9.51     6 
 41: a5 +10.46  a5a2e2d1 +10.46    6  42: a2 -10.36  a2h6h7e1 -10.36    6 
 43: h6 +8.79   h6h7e2e1 +8.79     6  44: h7 Loss    h7e1d1a1 Loss      6 
 45: e2 Win     e2f2a3a8 Win      16  46: f2 -4      f2a3a8a1 -4       15 
 47: g2 +4      g2a3a1b1 +4       14  48: a3 -4      a3a1b1g1 -4       13 
 49: a1 +4      a1b1g1f1 +4       12  50: b1 -4      b1g1f1h1 -4       11 
 51: g1 +4      g1f1h1h2 +4       10  52: f1 -4      f1h1h2d1 -4        9 
 53: h1 +4      h1h2d1e1 +4        8  54: h2 -4      h2d1e1h8 -4        7 
 55: d1 +4      d1e1h8g7 +4        6  56: e1 -4      e1h8g7a8 -4        5 
 57: h8 +4      h8g7a8b7 +4        4  58: g7 -4      g7a8b7   -4        3 
 59: a8 +4      a8b7     +4        2  60: b7         b7                 1 

Copyright: Gunnar Andersson & Lars Ivansson.
