Generated by WZebra 4.2.4
Date: Sun Mar 19 16:11:43 2017


Move sequence:
f5d6c4d3c3f4e3f6c6c5d7c7g4h3e6f3b5a5c8d2e2b6g5d1c1f2e1b4f7f1b3b1h4h6h2c2g3g6e7a2a4a3a6a7b7e8d8f8g8a8b8h8g1h1h5h7g7b2a1g2

First move: ##

   A  B  C  D  E  F  G  H
1 |59|32|25|24|27|30|53|54| 1
2 |40|58|36|20|21|26|60|35| 2
3 |42|31| 5| 4| 7|16|37|14| 3
4 |41|28| 3|()|##| 6|13|33| 4
5 |18|17|10|##|()| 1|23|55| 5
6 |43|22| 9| 2|15| 8|38|34| 6
7 |44|45|12|11|39|29|57|56| 7
8 |50|51|19|47|46|48|49|52| 8
   A  B  C  D  E  F  G  H

##:() - 20:44

History: <move> [<eval> <analysis> <eval> <lookahead>]

  1: f5         f5              book   2: d6         d6              book 
  3: c4         c4              book   4: d3         d3              book 
  5: c3         c3              book   6: f4         f4              book 
  7: e3         e3              book   8: f6         f6              book 
  9: c6         c6              book  10: c5         c5              book 
 11: d7         d7              book  12: c7 +0.41   c7       +0.41  book 
 13: g4 -0.41   g4h3e6f3 -0.41  book  14: h3 +0.41   h3e6f3   +0.41  book 
 15: e6 -0.41   e6f3     -0.41  book  16: f3 -4.59   f3       -4.59     1 
 17: b5 -1.98   b5d8e7f7 -1.98     6  18: a5 -2.77   a5b6b4a6 -2.77     6 
 19: c8 -8.57   c8b6a6f7 -8.57     6  20: d2 -3.98   d2g6b6a6 -3.98     6 
 21: e2 +3.57   e2b6g5g3 +3.57     6  22: b6 +0.70   b6c1f2g3 +0.70     6 
 23: g5 -7.21   g5f7e7f8 -7.21     6  24: d1 -2.30   d1e7g3f2 -2.30     6 
 25: c1 -9.84   c1f2e7f8 -9.84     6  26: f2 -1.21   f2e7b4b3 -1.21     6 
 27: e1 -9.87   e1h4f7g3 -9.87     6  28: b4 +1.12   b4b3g3e7 +1.12     6 
 29: f7 -9.37   f7b3f1g3 -9.37     6  30: f1 -2.41   f1b3b1c2 -2.41     6 
 31: b3 -12.09  b3c2g1g3 -12.09    6  32: b1 +5.48   b1c2g3h4 +5.48     6 
 33: h4 -11.71  h4c2g3a4 -11.71    6  34: h6 -1.71   h6h5c2a6 -1.71     6 
 35: h2 -9.73   h2c2h5h1 -9.73     6  36: c2 +7.12   c2h5h1g3 +7.12     6 
 37: g3 -14.03  g3g6e7a4 -14.03    6  38: g6 +1.71   g6e7a4h5 +1.71     6 
 39: e7 -14.66  e7a4h5g7 -14.66    6  40: a2 +7.81   a2a6a7h5 +7.81     6 
 41: a4 +0.15   a4a3h5h1 +0.15     6  42: a3 +4.73   a3a7f8d8 +4.73     6 
 43: a6 -5.69   a6a7h5h1 -5.69     6  44: a7 Win     a7h5h1g1 Win       6 
 45: b7 Loss    b7e8d8f8 Loss     16  46: e8 +24     e8d8f8g8 +24      15 
 47: d8 -24     d8f8g8a8 -24      14  48: f8 +24     f8g8a8b8 +24      13 
 49: g8 -24     g8a8b8h8 -24      12  50: a8 +24     a8b8h8g1 +24      11 
 51: b8 -24     b8h8g1h1 -24      10  52: h8 +24     h8g1h1h5 +24       9 
 53: g1 -24     g1h1h5h7 -24       8  54: h1 +24     h1h5h7g7 +24       7 
 55: h5 -24     h5h7g7b2 -24       6  56: h7 +24     h7g7b2a1 +24       5 
 57: g7 -24     g7b2a1g2 -24       4  58: b2 +24     b2a1g2   +24       3 
 59: a1 -24     a1g2     -24       2  60: g2         g2                 1 

Copyright: Gunnar Andersson & Lars Ivansson.
