Generated by WZebra 4.2.4
Date: Sun Mar 19 17:06:21 2017


Move sequence:
f5d6c4g5c6c5f6f4e6d7e7b5g3f8c8d8a6f7h6h4g4a4h5h7b6b3c3h3g6e3d3c7a5b4f2a7f3h2b2e1g1f1d1e2g2b8e8d2b7a1c1a2c2g8a8h1g7h8a3b1

First move: ##

   A  B  C  D  E  F  G  H
1 |50|60|51|43|40|42|41|56| 1
2 |52|39|53|48|44|35|45|38| 2
3 |59|26|27|31|30|37|13|28| 3
4 |22|34| 3|()|##| 8|21|20| 4
5 |33|12| 6|##|()| 1| 4|23| 5
6 |17|25| 5| 2| 9| 7|29|19| 6
7 |36|49|32|10|11|18|57|24| 7
8 |55|46|15|16|47|14|54|58| 8
   A  B  C  D  E  F  G  H

##:() - 31:33

History: <move> [<eval> <analysis> <eval> <lookahead>]

  1: f5         f5              book   2: d6         d6              book 
  3: c4         c4              book   4: g5         g5              book 
  5: c6         c6              book   6: c5         c5              book 
  7: f6         f6              book   8: f4         f4              book 
  9: e6         e6              book  10: d7         d7              book 
 11: e7 +0.84   e7       +0.84  book  12: b5 -0.14   b5c8e8g3 -0.14  book 
 13: g3 -5.94   g3       -5.94     1  14: f8 -7.30   f8g4c3b3 -7.30     6 
 15: c8 -5.84   c8d8g4c3 -5.84     6  16: d8 -1.88   d8g6c3c7 -1.88     6 
 17: a6 -4.58   a6g6b6b4 -4.58     6  18: f7 -4.72   f7g4f3e3 -4.72     6 
 19: h6 -4.30   h6f3g6e3 -4.30     6  20: h4 -2.07   h4g4h3b6 -2.07     6 
 21: g4 -2.53   g4h3b6f2 -2.53     6  22: a4 -4.17   a4e8b8h5 -4.17     6 
 23: h5 -3.31   h5h7c7h3 -3.31     6  24: h7 -6.34   h7b6h3g6 -6.34     6 
 25: b6 -2.30   b6h3g6g2 -2.30     6  26: b3 -9.35   b3c3h3g6 -9.35     6 
 27: c3 +0.98   c3h3g6e3 +0.98     6  28: h3 +0.36   h3g6e3b4 +0.36     6 
 29: g6 -8.60   g6e3b4h2 -8.60     6  30: e3 -1.52   e3d3h2e2 -1.52     6 
 31: d3 -10.98  d3h2e2c7 -10.98    6  32: c7 +1.41   c7b4h2f3 +1.41     6 
 33: a5 -5.20   a5f3a3b7 -5.20     6  34: b4 -3.66   b4f2h2f3 -3.66     6 
 35: f2 -5.89   f2h2f3a7 -5.89     6  36: a7 -1.33   a7f3b7a8 -1.33     6 
 37: f3 -1.45   f3h2g2d2 -1.45     6  38: h2 +6.24   h2g2d2c1 +6.24     6 
 39: b2 -11.05  b2f1g2e2 -11.05    6  40: e1 +10.39  e1f1a1g2 +10.39    6 
 41: g1 -13.06  g1e2g2a1 -13.06    6  42: f1 +11.80  f1d1b7g2 +11.80    6 
 43: d1 -9.71   d1e2d2a1 -9.71     6  44: e2 Win     e2d2a1c2 Win       6 
 45: g2 Loss    g2b8e8d2 Loss     16  46: b8 +2      b8e8d2a3 +2       15 
 47: e8 -2      e8d2b7a1 -2       14  48: d2 +2      d2b7a1c1 +2       13 
 49: b7 -2      b7a1c1a2 -2       12  50: a1 +2      a1c1a2c2 +2       11 
 51: c1 -2      c1a2c2g8 -2       10  52: a2 +2      a2c2g8a8 +2        9 
 53: c2 -2      c2g8a8h1 -2        8  54: g8 +2      g8a8h1g7 +2        7 
 55: a8 -2      a8h1g7h8 -2        6  56: h1 +2      h1g7h8a3 +2        5 
 57: g7 -2      g7h8a3b1 -2        4  58: h8 +2      h8a3b1   +2        3 
 59: a3 -2      a3b1     -2        2  60: b1         b1                 1 

Copyright: Gunnar Andersson & Lars Ivansson.
