Generated by WZebra 4.2.4
Date: Tue Jan 03 16:29:40 2017


Move sequence:
f5d6c5f4e3c6e6f6g4c4g5d3f7f2e2f3d2g3e7f1e1c1g1h4h5h6g6h7h2d7c3e8f8g7g2d1b1c2b5b6c7b3b4a3a4a5h8h3g8h1b7a1c8a8d8a7a6b8a2b2

First move: ##

   A  B  C  D  E  F  G  H
1 |52|37|22|36|21|20|23|50| 1
2 |59|60|38|17|15|14|35|29| 2
3 |44|42|31|12| 5|16|18|48| 3
4 |45|43|10|()|##| 4| 9|24| 4
5 |46|39| 3|##|()| 1|11|25| 5
6 |57|40| 6| 2| 7| 8|27|26| 6
7 |56|51|41|30|19|13|34|28| 7
8 |54|58|53|55|32|33|49|47| 8
   A  B  C  D  E  F  G  H

##:() - 22:42

History: <move> [<eval> <analysis> <eval> <lookahead>]

  1: f5         f5              book   2: d6         d6              book 
  3: c5         c5              book   4: f4         f4              book 
  5: e3         e3              book   6: c6         c6              book 
  7: e6         e6              book   8: f6         f6              book 
  9: g4 -1.95   g4       -1.95  book  10: c4 +1.95   c4g5c3d7 +1.95  book 
 11: g5 -0.19   g5c3d7f7 -0.19  book  12: d3 +1.63   d3       +1.63     1 
 13: f7 -2.35   f7f2e7f3 -2.35     6  14: f2 +2.00   f2e2f3d2 +2.00     6 
 15: e2 -1.38   e2f3d2g3 -1.38     6  16: f3 +1.20   f3d2g3e7 +1.20     6 
 17: d2 -1.51   d2g3e7h4 -1.51     6  18: g3 +0.98   g3e7f1c3 +0.98     6 
 19: e7 -1.52   e7f1c3c1 -1.52     6  20: f1 +2.74   f1e1c1g1 +2.74     6 
 21: e1 -3.32   e1c1g1h4 -3.32     6  22: c1 +3.74   c1g1h4c3 +3.74     6 
 23: g1 -3.33   g1h4h5h6 -3.33     6  24: h4 +3.30   h4h5h6g6 +3.30     6 
 25: h5 -5.07   h5h6g6h7 -5.07     6  26: h6 +4.97   h6g6h7h2 +4.97     6 
 27: g6 -3.35   g6h7h2d7 -3.35     6  28: h7 +1.84   h7h2d7g2 +1.84     6 
 29: h2 +0.06   h2g7c3d8 +0.06     6  30: d7 +0.06   d7c8g7c7 +0.06     6 
 31: c3 -0.55   c3e8g2c2 -0.55     6  32: e8 +0.51   e8g2d1b1 +0.51     6 
 33: f8 -0.83   f8g7g2g8 -0.83     6  34: g7 +1.77   g7g2c2b3 +1.77     6 
 35: g2 -4.30   g2d1b1c2 -4.30     6  36: d1 +6.34   d1b1c2b3 +6.34     6 
 37: b1 -6.70   b1c2b2h3 -6.70     6  38: c2 +7.70   c2b6c7h8 +7.70     6 
 39: b5 -9.09   b5b3b2h3 -9.09     6  40: b6 +9.50   b6b3g8d8 +9.50     6 
 41: c7 -10.21  c7d8h8h3 -10.21    6  42: b3 +9.05   b3b4a4a3 +9.05     6 
 43: b4 -8.09   b4a4a3h3 -8.09     6  44: a3 Win     a3a4a5h8 Win       6 
 45: a4 Loss    a4a5h8h3 Loss     16  46: a5 +20     a5h8h3g8 +20      15 
 47: h8 -20     h8h3g8h1 -20      14  48: h3 +20     h3g8h1b7 +20      13 
 49: g8 -20     g8h1b7a1 -20      12  50: h1 +20     h1b7a1c8 +20      11 
 51: b7 -20     b7a1c8a8 -20      10  52: a1 +20     a1c8a8d8 +20       9 
 53: c8 -20     c8a8d8a7 -20       8  54: a8 +20     a8d8a7a6 +20       7 
 55: d8 -20     d8a7a6b8 -20       6  56: a7 +20     a7a6b8a2 +20       5 
 57: a6 -20     a6b8a2b2 -20       4  58: b8 +20     b8a2b2   +20       3 
 59: a2 -20     a2b2     -20       2  60: b2         b2                 1 

Copyright: Gunnar Andersson & Lars Ivansson.
