Generated by WZebra 4.2.4
Date: Sun Mar 19 16:57:50 2017


Move sequence:
f5f6d3f4e6d6e7f8g6h6g3e3c7f3e2c6c5b6f7d7d8c3a5c4d2h3e8c8b5b3c2g8g5a4a6e1f1d1f2h5b7g4a2a3b1a1b2b4c1g1g2h2h1g7h4a7a8b8h8h7

First move: ##

   A  B  C  D  E  F  G  H
1 |46|45|49|38|36|37|50|53| 1
2 |43|47|31|25|15|39|51|52| 2
3 |44|30|22| 3|12|14|11|26| 3
4 |34|48|24|()|##| 4|42|55| 4
5 |23|29|17|##|()| 1|33|40| 5
6 |35|18|16| 6| 5| 2| 9|10| 6
7 |56|41|13|20| 7|19|54|60| 7
8 |57|58|28|21|27| 8|32|59| 8
   A  B  C  D  E  F  G  H

##:() - 26:38

History: <move> [<eval> <analysis> <eval> <lookahead>]

  1: f5         f5              book   2: f6         f6              book 
  3: d3         d3              book   4: f4         f4              book 
  5: e6 -2.83   e6       -2.83  book   6: d6 +2.83   d6e7f8g5 +2.83  book 
  7: e7 -2.83   e7f8g5e3 -2.83  book   8: f8 +3.43   f8g5e3f7 +3.43  book 
  9: g6 -10.05  g6       -10.05    1  10: h6 +2.31   h6f3e3f7 +2.31     6 
 11: g3 -6.32   g3g4c7c6 -6.32     6  12: e3 +1.12   e3c7g4f3 +1.12     6 
 13: c7 -11.34  c7f3g5g4 -11.34    6  14: f3 -1.76   f3e2c6g4 -1.76     6 
 15: e2 -12.24  e2h3g5c5 -12.24    6  16: c6 +2.50   c6c5c4c3 +2.50     6 
 17: c5 -6.41   c5h3g5c4 -6.41     6  18: b6 +5.21   b6g5h3e8 +5.21     6 
 19: f7 -7.49   f7d7d8e8 -7.49     6  20: d7 -2.82   d7d8d2e8 -2.82     6 
 21: d8 -5.82   d8g8b5h3 -5.82     6  22: c3 -1.24   c3c4b5b4 -1.24     6 
 23: a5 -11.34  a5c4e8c8 -11.34    6  24: c4 -0.81   c4d2a6e8 -0.81     6 
 25: d2 -12.36  d2b8b4h3 -12.36    6  26: h3 +1.27   h3g4a6e8 +1.27     6 
 27: e8 -7.73   e8c8g4g5 -7.73     6  28: c8 +1.54   c8g5g8f2 +1.54     6 
 29: b5 -12.60  b5b4g5g8 -12.60    6  30: b3 +1.82   b3c2g8a3 +1.82     6 
 31: c2 -16.04  c2g8g4b4 -16.04    6  32: g8 +3.84   g8g4b4b7 +3.84     6 
 33: g5 -13.80  g5b4b7f2 -13.80    6  34: a4 +8.20   a4a6e1f1 +8.20     6 
 35: a6 -11.66  a6b4f2a7 -11.66    6  36: e1 +1.76   e1f1g1f2 +1.76     6 
 37: f1 -6.25   f1g1f2h5 -6.25     6  38: d1 -2.58   d1a3h5h4 -2.58     6 
 39: f2 -7.96   f2g1a3h5 -7.96     6  40: h5 -3.41   h5b7b4a3 -3.41     6 
 41: b7 -6.63   b7g4c1a8 -6.63     6  42: g4 +5.46   g4c1a8b8 +5.46     6 
 43: a2 -13.95  a2a3h4a8 -13.95    6  44: a3 Win     a3b1a1c1 Win       6 
 45: b1 Loss    b1a1c1b2 Loss     16  46: a1 +12     a1c1b2b4 +12      15 
 47: b2 -12     b2b4c1g1 -12      14  48: b4 +12     b4c1g1g2 +12      13 
 49: c1 -12     c1g1g2h2 -12      12  50: g1 +12     g1g2h2h1 +12      11 
 51: g2 -12     g2h2h1g7 -12      10  52: h2 +12     h2h1g7h4 +12       9 
 53: h1 -12     h1g7h4a7 -12       8  54: g7 +12     g7h4a7a8 +12       7 
 55: h4 -12     h4a7a8b8 -12       6  56: a7 +12     a7a8b8h8 +12       5 
 57: a8 -12     a8b8h8h7 -12       4  58: b8 +12     b8h8h7   +12       3 
 59: h8 -12     h8h7     -12       2  60: --                  -         1 
 61: h7         h7                 1 


Copyright: Gunnar Andersson & Lars Ivansson.
