1 3 5 -5
0 2 3 5
1 3 2 -5
0 4 5 5
1 5 4 -5
0 2 2 5
1 5 3 -5
0 2 5 5
1 2 4 -5
0 1 3 5
1 4 6 -5
0 4 2 5
1 3 6 -5
0 5 2 5
1 1 5 -5
0 6 3 5
1 1 4 -5
0 6 5 5
1 0 2 -5
0 5 5 5
1 1 2 -5
0 0 3 5
1 0 4 -5
0 5 6 5
1 6 4 -5
0 4 7 5
1 3 7 -3
0 2 7 2
1 5 7 -2
0 7 5 3
1 1 7 -4
0 2 6 4
1 2 1 -4
0 0 6 4
1 4 1 -4
0 5 1 5
1 6 2 -5
0 3 0 5
1 6 1 -5
0 2 0 4
1 1 1 -4
0 3 1 4
1 0 5 -4
0 0 0 8
1 0 7 -8
0 7 0 5
1 7 3 -5
0 7 1 5
1 7 2 -5
0 7 4 5
1 6 6 -5
0 7 7 5
1 6 7 -5
0 7 6 5
1 5 0 -5
0 1 6 5
1 1 0 -5
0 0 1 5
1 4 0 -5
0 6 0 5
