1 3 5 -8
0 2 3 8
1 4 2 -8
0 5 3 8
1 5 2 -8
0 4 5 8
1 3 2 -8
0 5 1 8
1 6 4 -8
0 5 4 8
1 6 3 -8
0 4 1 4
1 5 5 -5
0 4 6 5
1 5 0 -6
0 6 2 6
1 2 1 -6
0 2 2 6
1 4 0 -6
0 3 0 6
1 3 1 -6
0 6 0 6
1 7 2 -7
0 6 5 7
1 1 4 -7
0 1 3 7
1 0 3 -7
0 2 5 7
1 2 6 -7
0 2 4 7
1 1 2 -7
0 7 5 7
1 5 6 -7
0 4 7 7
1 3 7 -7
0 5 7 7
1 3 6 -8
0 7 4 8
1 7 3 -7
0 7 1 7
1 6 7 -7
0 1 5 7
1 6 6 -7
0 0 5 8
1 0 4 -8
0 0 6 8
1 0 7 -8
0 1 6 8
1 6 1 -8
0 7 0 8
1 1 7 -8
0 2 7 8
0 1 0 8
1 2 0 -8
0 1 1 8
1 0 0 -8
0 7 7 8
0 7 6 8
0 0 2 8
1 0 1 -8
