1 3 5 -6
0 2 3 6
1 3 2 -6
0 4 5 6
1 5 4 -6
0 2 2 6
1 5 3 -6
0 2 5 6
1 2 4 -6
0 1 3 6
1 1 4 -6
0 1 2 6
1 4 2 -6
0 5 5 6
1 0 3 -6
0 0 2 6
1 1 5 -6
0 0 5 6
1 0 1 -6
0 6 4 3
1 6 5 -3
0 3 1 4
1 4 1 -4
0 6 3 4
1 3 6 -5
0 2 1 5
1 5 2 -4
0 4 6 4
1 7 3 -5
0 2 6 5
1 7 4 -6
0 5 0 6
1 4 0 -6
0 3 0 6
1 5 6 -6
0 0 4 6
1 0 6 -7
0 5 1 7
1 2 0 -7
0 6 2 7
1 4 7 -7
0 1 6 8
1 7 2 -7
0 6 1 8
1 7 1 -8
0 7 0 6
1 6 0 -6
0 3 7 6
1 0 7 -6
0 1 0 6
1 1 7 -6
0 2 7 6
1 1 1 -6
0 7 5 6
1 6 6 -6
0 6 7 6
1 5 7 -6
0 0 0 6
1 7 7 -6
1 7 6 -6
