1 3 5 0.0
0 2 3 0.0
1 3 2 0.0
0 4 5 0.0
1 1 3 0.0
0 2 2 3.96
1 3 1 -3.96
0 2 5 3.96
1 5 3 -2.87
0 5 2 2.87
1 5 1 -2.87
0 6 3 2.87
1 7 4 -1.99
0 1 2 1.99
1 0 2 -4.74
0 2 1 4.09
1 5 4 -4.59
0 3 0 4.91
1 5 5 -4.23
0 0 4 3.09
1 4 6 -3.09
0 0 3 3.02
1 0 5 -2.3
0 6 4 1.0
1 7 5 -1.38
0 6 2 1.33
1 7 3 -0.34
0 3 6 -0.48
1 2 7 0.62
0 7 1 -1.26
1 1 4 0.34
0 4 2 0.62
1 2 4 0.42
0 5 0 0.24
1 0 1 -0.27
0 6 5 0.48
1 5 6 -0.85
0 4 7 1.7
1 5 7 -2.44
0 6 7 3.4
1 4 1 -5.29
0 4 0 5.33
1 2 0 -6.02
0 1 0 3.85
1 7 2 -0.17
0 7 6 0.02
1 6 1 -1.92
0 3 7 1.07
1 7 7 -0.57
0 7 0 0.16
1 6 0 0.5
0 6 6 -1.39
1 2 6 3.22
0 1 7 0.0
1 0 0 0.0
0 1 1 0.0
1 1 5 0.0
0 0 6 0.0
1 0 7 0.0
0 1 6 0.0
