1 3 5 -6.0
0 2 3 6.0
1 5 2 -6.0
0 5 3 6.0
1 4 2 -6.0
0 4 5 6.0
1 3 2 -6.0
0 5 1 6.0
1 6 2 -6.0
0 4 1 6.0
1 5 4 -6.0
0 2 4 6.0
1 2 2 -6.0
0 2 5 6.0
1 3 0 -6.0
0 4 0 6.0
1 3 1 -6.0
0 2 0 6.0
1 1 3 -6.0
0 1 2 6.0
1 1 4 -6.0
0 2 1 6.0
1 1 5 -6.0
0 0 4 0.86
1 0 2 -0.59
0 0 6 -0.02
1 5 6 0.2
0 6 3 -0.37
1 0 5 0.22
0 7 2 -0.11
1 6 1 -0.11
0 0 3 1.28
1 0 7 -2.23
0 5 5 2.19
1 6 0 -1.95
0 1 1 3.24
1 6 5 -4.16
0 6 6 3.29
1 6 4 -4.8
0 7 5 5.58
1 7 4 -7.52
0 7 3 8.45
1 7 1 -11.58
0 7 0 13.92
1 5 0 -12.18
0 0 1 12.57
1 7 7 -12.91
0 1 6 10.95
1 0 0 -10.44
0 1 0 10.44
1 3 6 -7.16
0 7 6 4.96
1 1 7 -3.9
0 4 7 6.0
1 4 6 -6.0
0 2 7 6.0
1 2 6 -6.0
0 6 7 6.0
1 3 7 -6.0
0 5 7 6.0
