1 3 5 0.0
0 2 3 0.0
1 4 2 0.0
0 5 3 0.0
1 5 2 0.0
0 4 5 0.0
1 2 2 -4.5
0 5 4 8.18
1 1 3 -8.93
0 5 1 7.56
1 5 5 -7.16
0 3 1 7.23
1 6 4 -7.02
0 1 2 6.93
1 2 4 -6.13
0 3 2 5.17
1 4 1 -6.65
0 0 4 6.09
1 2 0 -4.64
0 4 0 4.23
1 6 3 -4.08
0 6 2 4.08
1 5 0 -5.02
0 1 4 6.2
1 3 0 -7.03
0 7 3 6.45
1 7 4 -6.33
0 2 1 6.19
1 1 0 -5.87
0 2 5 6.13
1 1 5 -7.12
0 3 6 7.13
1 2 6 -6.77
0 2 7 7.8
1 1 6 -9.02
0 5 6 8.99
1 4 7 -9.96
0 3 7 11.85
1 0 2 -11.91
0 0 7 10.21
1 7 2 -9.29
0 6 1 9.62
1 6 6 -8.96
0 7 1 7.74
1 4 6 -7.22
0 6 5 5.8
1 0 3 -6.02
0 0 5 5.95
1 7 5 -4.6
0 5 7 1.62
1 6 7 1.0
0 7 7 -1.4
1 7 6 4.34
0 0 1 0.0
1 0 6 0.0
0 1 7 0.0
1 0 0 0.0
0 1 1 0.0
1 6 0 0.0
0 7 0 0.0
