1 3 5 -8.0
0 2 3 8.0
1 5 2 -8.0
0 5 3 8.0
1 4 2 -8.0
0 4 5 8.0
1 3 2 -8.0
0 5 1 8.0
1 6 2 -8.0
0 5 4 8.0
1 6 3 -8.0
0 2 2 8.0
1 4 1 -8.0
0 5 0 8.0
1 5 6 -8.0
0 4 6 8.0
1 3 1 -2.51
0 2 5 2.51
1 4 0 0.41
0 7 3 -3.49
1 5 5 2.43
0 6 5 -1.99
1 7 4 1.89
0 7 5 -1.36
1 6 4 0.51
0 2 0 0.23
1 3 0 0.13
0 2 4 -0.26
1 1 1 -0.18
0 7 2 0.02
1 1 4 -1.13
0 4 7 2.32
1 6 1 -1.21
0 1 5 -0.14
1 3 6 0.73
0 0 4 -1.13
1 1 3 1.35
0 2 1 -1.16
1 0 3 1.24
0 7 1 -1.5
1 7 0 0.19
0 6 0 0.01
1 7 6 -0.22
0 0 5 0.76
1 3 7 -1.44
0 2 7 1.47
1 2 6 -0.99
0 1 2 0.23
1 5 7 -2.34
0 6 7 3.94
1 0 1 -3.71
0 0 2 3.76
1 0 0 -3.57
0 1 0 8.0
1 0 6 -8.0
0 1 7 8.0
1 6 6 -8.0
0 7 7 8.0
1 1 6 -8.0
0 0 7 8.0
